Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,ASIANPAINT,EQ,361.2,370.0,390.0,370.0,385.0,381.65,380.54,3318,126261725000.0,,,
2000-01-04,ASIANPAINT,EQ,381.65,380.0,392.0,375.0,390.0,385.55,383.5,4818,184769865000.0,,,
2000-01-05,ASIANPAINT,EQ,385.55,371.5,390.0,371.5,383.0,383.0,379.81,2628,99813845000.0,,,
2000-01-06,ASIANPAINT,EQ,383.0,384.9,384.9,374.5,375.1,377.5,379.88,3354,127411439999.99998,,,
2000-01-07,ASIANPAINT,EQ,377.5,376.0,390.0,370.0,389.0,385.7,383.38,9589,367627470000.0,,,
2000-01-10,ASIANPAINT,EQ,385.7,415.0,416.6,409.0,416.6,415.0,414.97,60313,2502823025000.0,,,
2000-01-11,ASIANPAINT,EQ,415.0,415.0,423.0,409.0,417.0,415.2,412.51,65570,2704802390000.0,,,
2000-01-12,ASIANPAINT,EQ,415.2,420.0,448.45,410.05,418.55,417.65,421.46,24854,1047500785000.0,,,
2000-01-13,ASIANPAINT,EQ,417.65,423.0,429.9,413.05,417.1,418.7,422.4,9169,387300640000.0,,,
2000-01-14,ASIANPAINT,EQ,418.7,410.0,414.9,408.0,410.6,410.0,410.05,64603,2649021300000.0,,,
2000-01-17,ASIANPAINT,EQ,410.0,420.0,421.0,401.0,415.0,411.35,413.72,7537,311819530000.0,,,
2000-01-18,ASIANPAINT,EQ,411.35,410.0,419.0,410.0,416.0,414.05,413.76,7656,316775985000.0,,,
2000-01-19,ASIANPAINT,EQ,414.05,425.0,430.0,417.5,418.0,419.35,421.93,28800,1215149345000.0,,,
2000-01-20,ASIANPAINT,EQ,419.35,425.0,428.9,412.0,422.0,420.55,418.78,54282,2273214310000.0,,,
2000-01-21,ASIANPAINT,EQ,420.55,422.0,445.0,421.25,425.9,425.85,429.77,48388,2079549305000.0,,,
2000-01-24,ASIANPAINT,EQ,425.85,434.0,459.95,434.0,459.95,458.4,457.7,55504,2540441745000.0,,,
2000-01-25,ASIANPAINT,EQ,458.4,470.0,495.05,467.0,495.05,494.7,484.0,45422,2198446595000.0,,,
2000-01-27,ASIANPAINT,EQ,494.7,530.0,530.0,460.0,477.0,472.95,477.35,33156,1582709010000.0,,,
