Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-05-26,BAJAJFINSV,EQ,2101.05,600.0,619.0,501.0,505.1,509.1,548.85,3145446,172636816770000.0,,908264,0.2888
2008-05-27,BAJAJFINSV,EQ,509.1,505.0,610.95,491.1,564.0,554.65,572.15,4349144,248836962444999.97,,677627,0.1558
2008-05-28,BAJAJFINSV,EQ,554.65,564.0,665.6,564.0,643.0,640.95,618.37,4588759,283753013850000.0,,774895,0.16890000000000002
2008-05-29,BAJAJFINSV,EQ,640.95,656.65,703.0,608.0,634.5,632.4,659.6,4522302,298292067720000.0,,1006161,0.2225
2008-05-30,BAJAJFINSV,EQ,632.4,642.4,668.0,588.3,647.0,644.0,636.41,3057669,194592873410000.0,,462832,0.1514
2008-06-02,BAJAJFINSV,EQ,644.0,650.0,699.0,622.0,687.0,686.95,670.51,2247399,150691325015000.0,,351112,0.1562
2008-06-03,BAJAJFINSV,EQ,686.95,672.0,689.8,632.55,670.55,672.05,665.87,2299383,153108236050000.0,,391772,0.1704
2008-06-04,BAJAJFINSV,EQ,672.05,674.0,674.0,566.6,595.0,598.95,602.36,2832725,170631710390000.0,,735765,0.2597
2008-06-05,BAJAJFINSV,EQ,598.95,603.0,639.8,572.3,631.5,631.85,610.65,1344712,82115215000000.0,,167819,0.12480000000000001
2008-06-06,BAJAJFINSV,EQ,631.85,639.25,642.9,608.05,635.0,630.9,628.44,794722,49943255770000.0,,65497,0.0824
2008-06-09,BAJAJFINSV,EQ,630.9,620.0,648.0,580.0,645.0,629.9,624.95,758393,47395833740000.0,,126531,0.1668
2008-06-10,BAJAJFINSV,EQ,629.9,618.0,675.0,618.0,672.0,669.25,653.65,939180,61389719585000.0,,154239,0.1642
2008-06-11,BAJAJFINSV,EQ,669.25,672.0,682.0,641.1,641.1,653.5,662.71,750714,49750278290000.0,,225104,0.2999
