Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,BAJAUTOFIN,EQ,46.95,49.45,50.75,46.5,50.75,50.75,50.05,7600,38038000000.0,,,
2000-01-04,BAJAUTOFIN,EQ,50.75,53.2,53.2,47.9,48.0,48.1,48.56,5000,24280000000.0,,,
2000-01-05,BAJAUTOFIN,EQ,48.1,46.55,47.4,44.6,44.6,44.6,45.47,3500,15914500000.0,,,
2000-01-06,BAJAUTOFIN,EQ,44.6,43.5,46.0,42.1,46.0,45.25,44.43,6200,27547500000.0,,,
2000-01-07,BAJAUTOFIN,EQ,45.25,48.0,48.0,42.0,42.9,42.9,44.44,3500,15555500000.0,,,
2000-01-10,BAJAUTOFIN,EQ,42.9,42.05,44.9,41.0,43.0,42.9,42.47,4700,19961000000.0,,,
2000-01-11,BAJAUTOFIN,EQ,42.9,42.0,42.0,39.5,40.25,40.1,40.25,5500,22139000000.0,,,
2000-01-12,BAJAUTOFIN,EQ,40.1,40.0,40.0,39.0,39.0,39.0,39.8,1000,3980000000.0,,,
2000-01-13,BAJAUTOFIN,EQ,39.0,40.0,41.0,38.5,39.5,39.5,39.37,1000,3937000000.0,,,
2000-01-14,BAJAUTOFIN,EQ,39.5,39.0,40.5,39.0,39.9,39.9,39.72,1700,6752000000.0,,,
2000-01-17,BAJAUTOFIN,EQ,39.9,39.05,41.0,38.4,39.2,39.2,39.84,3100,12349500000.0,,,
2000-01-18,BAJAUTOFIN,EQ,39.2,39.5,40.0,38.05,38.3,38.3,39.2,3000,11761000000.0,,,
2000-01-19,BAJAUTOFIN,EQ,38.3,40.9,41.4,39.25,41.4,41.4,40.57,4500,18258000000.0,,,
2000-01-20,BAJAUTOFIN,EQ,41.4,42.0,44.5,42.0,43.0,43.0,43.68,6400,27955500000.0,,,
2000-01-21,BAJAUTOFIN,EQ,43.0,46.4,46.4,42.0,42.95,42.95,42.63,3100,13215000000.0,,,
2000-01-24,BAJAUTOFIN,EQ,42.95,42.5,43.0,40.05,40.05,40.05,41.3,3100,12802000000.0,,,
2000-01-25,BAJAUTOFIN,EQ,40.05,39.2,40.0,36.85,38.6,37.7,38.41,6400,24584500000.0,,,
