Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-02-18,BHARTI,EQ,0.0,51.9,51.9,43.5,44.7,44.35,46.0,10381190,47754314050000.0,,6503775.0,0.6265
2002-02-19,BHARTI,EQ,44.35,45.15,45.15,41.3,41.35,41.7,42.58,3552660,15126094130000.002,,1741184.0,0.4901
2002-02-20,BHARTI,EQ,41.7,40.6,42.8,40.25,41.2,41.25,41.56,2512964,10443478265000.0,,,
2002-02-21,BHARTI,EQ,41.25,42.85,43.4,42.15,42.2,42.4,42.76,1338196,5722681000000.0,,485969.0,0.3632
2002-02-22,BHARTI,EQ,42.4,42.65,43.6,41.1,43.35,43.3,42.75,811327,3468413225000.0,,399133.0,0.49200000000000005
2002-02-25,BHARTI,EQ,43.3,45.5,45.5,42.65,42.95,42.8,43.05,454151,1955299645000.0,,237710.0,0.5234000000000001
2002-02-26,BHARTI,EQ,42.8,43.15,44.2,42.9,43.7,43.6,43.48,894960,3891165229999.9995,,539339.0,0.6026
2002-02-27,BHARTI,EQ,43.6,43.95,46.3,43.75,44.45,44.65,45.02,3271361,14728818065000.0,,1376980.0,0.42090000000000005
2002-02-28,BHARTI,EQ,44.65,46.0,46.8,40.8,41.4,41.5,44.48,4429634,19702772080000.0,,1583183.0,0.35740000000000005
2002-03-01,BHARTI,EQ,41.5,42.0,43.4,41.8,42.45,42.5,42.52,942785,4008985075000.0,,473453.0,0.5022
2002-03-04,BHARTI,EQ,42.5,43.1,44.25,42.85,43.25,43.3,43.37,615152,2667845820000.0,,346466.0,0.5632
2002-03-05,BHARTI,EQ,43.3,44.2,45.5,43.7,45.35,45.3,44.92,1490137,6693880700000.0,,932820.0,0.626
2002-03-06,BHARTI,EQ,45.3,45.9,46.7,44.8,45.35,45.1,45.68,1989742,9088577390000.0,,1005402.0,0.5053
2002-03-07,BHARTI,EQ,45.1,45.9,45.9,44.75,44.95,44.95,44.99,675801,3040250905000.0,,536827.0,0.7944
2002-03-08,BHARTI,EQ,44.95,45.2,45.25,43.7,43.8,43.9,44.29,273519,1211295490000.0,,173476.0,0.6342
2002-03-11,BHARTI,EQ,43.9,44.5,45.4,43.1,43.45,43.3,43.59,217122,946423860000.0,,,
2002-03-12,BHARTI,EQ,43.3,43.4,43.45,41.9,41.9,42.1,42.64,321384,1370357945000.0,,336975.0,0.6258
2002-03-13,BHARTI,EQ,42.1,42.1,42.65,41.5,42.0,41.9,42.15,228034,961192894999.9999,,136582.0,0.599
2002-03-14,BHARTI,EQ,41.9,42.0,42.4,41.05,41.35,41.45,41.66,302924,1262094895000.0,,201419.0,0.6648999999999999
2002-03-15,BHARTI,EQ,41.45,42.0,42.5,41.35,42.0,41.95,41.88,402993,1687648755000.0,,237945.0,0.5904
2002-03-18,BHARTI,EQ,41.95,43.0,43.0,41.55,41.55,41.75,42.17,387469,1633989635000.0,,231508.0,0.5975
2002-03-19,BHARTI,EQ,41.75,42.1,42.9,40.4,40.6,40.7,41.33,505251,2088165745000.0,,381961.0,0.756
2002-03-20,BHARTI,EQ,40.7,40.9,41.35,40.25,40.45,40.5,40.89,413147,1689378150000.0,,277482.0,0.6716
2002-03-21,BHARTI,EQ,40.5,40.6,41.0,40.4,40.55,40.6,40.67,171711,698273745000.0,,99401.0,0.5789
2002-03-22,BHARTI,EQ,40.6,40.8,41.45,39.5,39.8,39.85,40.12,225579,905032390000.0,,148538.0,0.6585
2002-03-26,BHARTI,EQ,39.85,40.75,40.75,38.9,39.0,39.0,39.26,190075,746150340000.0,,123651.0,0.6505
2002-03-27,BHARTI,EQ,39.0,40.9,40.9,39.0,39.0,39.1,39.19,175456,687584685000.0,,116154.0,0.662
2002-03-28,BHARTI,EQ,39.1,39.2,39.35,38.0,38.8,38.55,38.74,247315,958053615000.0,,173504.0,0.7016
2002-04-01,BHARTI,EQ,38.55,39.4,40.1,38.65,38.8,38.9,39.35,169309,666309680000.0,,79957.0,0.4723
2002-04-02,BHARTI,EQ,38.9,38.95,39.0,37.05,37.25,37.3,37.82,401427,1518131540000.0,,270756.0,0.6745
2002-04-03,BHARTI,EQ,37.3,37.25,38.0,35.7,36.2,36.1,36.94,434081,1603586430000.0,,250766.0,0.5777
2002-04-04,BHARTI,EQ,36.1,36.9,39.45,36.5,39.0,38.6,37.98,461590,1752990239999.9998,,197328.0,0.4275
2002-04-05,BHARTI,EQ,38.6,39.0,39.65,38.05,38.2,38.2,38.81,278024,1078980765000.0,,125450.0,0.4512
2002-04-08,BHARTI,EQ,38.2,38.8,39.0,37.0,37.25,37.15,37.76,264685,999420730000.0001,,135588.0,0.5123
2002-04-09,BHARTI,EQ,37.15,37.9,38.95,37.5,37.9,37.75,38.01,330822,1257444000000.0,,137825.0,0.41659999999999997
2002-04-10,BHARTI,EQ,37.75,38.0,38.0,36.4,37.3,37.15,37.01,393221,1455178740000.0,,224684.0,0.5714
2002-04-11,BHARTI,EQ,37.15,37.9,39.6,37.9,38.95,38.55,38.75,462716,1793193895000.0,,216607.0,0.4681
2002-04-12,BHARTI,EQ,38.55,38.35,38.4,37.4,37.75,37.75,37.66,365658,1376887780000.0,,214156.0,0.5857
2002-04-15,BHARTI,EQ,37.75,37.5,38.8,37.1,37.8,37.85,37.98,309167,1174340945000.0,,151896.0,0.4913
2002-04-16,BHARTI,EQ,37.85,38.0,38.4,37.75,37.8,37.85,38.03,207262,788143920000.0,,,
2002-04-17,BHARTI,EQ,37.85,38.35,38.45,37.25,37.5,37.4,37.75,221096,834543180000.0,,144023.0,0.6514
2002-04-18,BHARTI,EQ,37.4,37.9,37.95,37.3,37.65,37.5,37.58,125768,472578490000.00006,,76000.0,0.6043000000000001
2002-04-19,BHARTI,EQ,37.5,37.9,37.9,36.75,36.9,36.95,37.18,159582,593379425000.0,,105605.0,0.6618
2002-04-22,BHARTI,EQ,36.95,37.8,37.8,36.55,36.9,36.7,36.95,209825,775267220000.0,,150888.0,0.7191
2002-04-23,BHARTI,EQ,36.7,37.4,37.5,35.9,36.2,36.0,36.33,304296,1105595915000.0,,203405.0,0.6684
2002-04-24,BHARTI,EQ,36.0,36.2,36.9,36.2,36.9,36.75,36.63,153154,561057970000.0,,,
2002-04-25,BHARTI,EQ,36.75,36.9,37.0,36.2,36.3,36.3,36.49,260518,950712869999.9999,,289655.0,0.7001999999999999
2002-04-26,BHARTI,EQ,36.3,36.15,36.7,35.7,35.7,35.9,36.07,324142,1169337020000.0,,247914.0,0.7648
2002-04-29,BHARTI,EQ,35.9,35.75,37.3,35.25,35.8,35.7,36.28,388628,1409989350000.0,,156031.0,0.40149999999999997
2002-04-30,BHARTI,EQ,35.7,35.6,36.0,34.9,35.0,35.0,35.26,267446,942994050000.0,,,
2002-05-02,BHARTI,EQ,35.0,35.25,35.6,34.35,34.55,34.85,34.94,521349,1821370320000.0,,414690.0,0.7954000000000001
2002-05-03,BHARTI,EQ,34.85,35.0,35.0,33.9,34.05,34.1,34.2,418258,1430415020000.0,,304124.0,0.7271
2002-05-06,BHARTI,EQ,34.1,34.5,34.6,33.8,33.95,34.0,34.14,849209,2899370620000.0,,689014.0,0.8114
2002-05-07,BHARTI,EQ,34.0,33.8,34.2,33.8,34.05,34.05,34.02,614737,2091113814999.9998,,512251.0,0.8333
2002-05-08,BHARTI,EQ,34.05,34.25,34.45,34.0,34.35,34.25,34.18,985787,3369467160000.0,,821725.0,0.8336
2002-05-09,BHARTI,EQ,34.25,35.45,37.25,34.5,36.75,35.8,35.4,889295,3147681255000.0,,625653.0,0.7034999999999999
2002-05-10,BHARTI,EQ,35.8,37.05,38.3,36.1,36.25,36.4,37.19,1040862,3870909995000.0005,,561897.0,0.5398
2002-05-13,BHARTI,EQ,36.4,35.85,37.0,35.8,36.15,36.05,36.19,265570,960999035000.0,,113082.0,0.4258
2002-05-14,BHARTI,EQ,36.05,36.3,36.55,35.25,35.25,35.55,35.74,259521,927602665000.0,,165863.0,0.6391
2002-05-15,BHARTI,EQ,35.55,35.7,35.85,34.6,34.7,34.95,35.15,338589,1190287835000.0,,240253.0,0.7095999999999999
2002-05-16,BHARTI,EQ,34.95,35.25,35.25,34.2,34.85,34.55,34.55,367218,1268723945000.0,,264127.0,0.7193
2002-05-17,BHARTI,EQ,34.55,34.25,34.8,34.25,34.6,34.7,34.51,697619,2407494540000.0,,646425.0,0.9266
2002-05-20,BHARTI,EQ,34.7,34.05,34.45,33.2,33.55,33.65,33.94,846600,2873424340000.0,,727163.0,0.8589
2002-05-21,BHARTI,EQ,33.65,33.2,33.5,32.25,33.25,33.05,32.93,1188202,3912559415000.0,,1013232.0,0.8527
2002-05-22,BHARTI,EQ,33.05,33.1,35.3,33.0,33.5,33.7,34.21,330183,1129523645000.0,,178977.0,0.5421
2002-05-23,BHARTI,EQ,33.7,33.95,33.95,32.8,33.0,33.0,33.03,268447,886746085000.0,,239516.0,0.8922
2002-05-24,BHARTI,EQ,33.0,33.5,34.0,33.1,33.5,33.45,33.5,270784,907042135000.0,,174277.0,0.6436000000000001
2002-05-27,BHARTI,EQ,33.45,34.2,34.2,33.05,33.25,33.2,33.36,154536,515600650000.0,,89325.0,0.578
2002-05-28,BHARTI,EQ,33.2,33.5,33.5,32.65,32.85,32.85,32.98,877260,2893528540000.0,,836518.0,0.9536
2002-05-29,BHARTI,EQ,32.85,32.6,33.5,32.25,32.45,32.4,32.66,358157,1169775580000.0,,,
2002-05-30,BHARTI,EQ,32.4,32.1,32.6,31.9,32.05,32.0,32.15,268915,864621675000.0,,,
2002-05-31,BHARTI,EQ,32.0,32.5,32.55,31.6,32.5,32.2,32.15,126001,405153025000.0,,,
2002-06-03,BHARTI,EQ,32.2,33.1,33.5,32.1,32.2,32.2,32.55,84769,275911875000.0,,50606.0,0.5970000000000001
2002-06-04,BHARTI,EQ,32.2,33.0,33.5,32.0,33.1,32.9,32.41,860401,2788545640000.0,,659634.0,0.7667
2002-06-05,BHARTI,EQ,32.9,33.5,33.75,32.5,32.7,32.65,33.14,243850,808166425000.0,,156523.0,0.6419
2002-06-06,BHARTI,EQ,32.65,33.4,36.15,33.0,36.1,35.65,34.49,740010,2552252640000.0,,420791.0,0.5686
2002-06-07,BHARTI,EQ,35.65,34.5,36.65,33.6,33.75,33.95,34.97,572510,2002037860000.0002,,263920.0,0.461
2002-06-10,BHARTI,EQ,33.95,34.75,34.85,33.55,34.0,33.75,34.36,362233,1244807105000.0,,296665.0,0.8190000000000001
2002-06-11,BHARTI,EQ,33.75,34.6,35.25,34.25,34.5,34.45,34.68,239454,830536255000.0,,146111.0,0.6102000000000001
2002-06-12,BHARTI,EQ,34.45,34.5,34.75,33.5,33.5,33.6,33.92,290225,984341944999.9999,,230474.0,0.7941
2002-06-13,BHARTI,EQ,33.6,34.3,34.3,32.65,32.9,32.8,33.21,312706,1038489455000.0001,,257786.0,0.8244
2002-06-14,BHARTI,EQ,32.8,33.05,33.8,33.05,33.55,33.45,33.43,207995,695374430000.0,,131653.0,0.633
2002-06-17,BHARTI,EQ,33.45,36.0,38.5,35.0,35.95,35.7,36.37,1078596,3922539385000.0,,617772.0,0.5728
2002-06-18,BHARTI,EQ,35.7,36.1,36.35,34.65,35.25,35.0,35.37,412009,1457476290000.0,,214104.0,0.5197
2002-06-19,BHARTI,EQ,35.0,35.0,35.3,34.0,34.0,34.15,34.35,241134,828248770000.0,,151512.0,0.6283
2002-06-20,BHARTI,EQ,34.15,33.95,34.6,33.8,34.4,34.3,34.22,179642,614809610000.0,,102254.0,0.5692
2002-06-21,BHARTI,EQ,34.3,35.1,35.1,33.75,33.9,33.9,34.06,199036,677941455000.0,,130832.0,0.6573000000000001
2002-06-24,BHARTI,EQ,33.9,34.0,34.1,33.45,33.75,33.75,33.76,326210,1101184970000.0,,268392.0,0.8228
2002-06-25,BHARTI,EQ,33.75,34.35,34.35,33.2,33.75,33.75,33.61,153266,515127225000.0,,104634.0,0.6827
2002-06-26,BHARTI,EQ,33.75,33.95,33.95,33.1,33.1,33.3,33.43,135128,451714315000.00006,,97516.0,0.7217
2002-06-27,BHARTI,EQ,33.3,33.5,33.7,33.3,33.35,33.4,33.53,117921,395376850000.0,,86635.0,0.7347
2002-06-28,BHARTI,EQ,33.4,34.9,34.9,33.5,34.05,34.0,33.91,156815,531755825000.0,,122189.0,0.7792
2002-07-01,BHARTI,EQ,34.0,34.05,35.5,33.5,35.05,34.8,34.73,381852,1326064445000.0,,228152.0,0.5975
2002-07-02,BHARTI,EQ,34.8,33.5,35.6,33.5,35.55,35.5,35.19,304839,1072640350000.0,,210735.0,0.6912999999999999
2002-07-03,BHARTI,EQ,35.5,36.0,36.0,34.95,35.05,35.15,35.31,258959,914513050000.0,,181830.0,0.7022
2002-07-04,BHARTI,EQ,35.15,35.75,36.25,35.25,36.0,36.0,35.88,517457,1856509080000.0,,420701.0,0.813
2002-07-05,BHARTI,EQ,36.0,35.05,35.45,34.0,34.25,34.2,34.59,407041,1407899150000.0,,297049.0,0.7298
2002-07-08,BHARTI,EQ,34.2,34.25,34.7,33.75,34.0,34.0,34.31,257784,884492419999.9999,,218307.0,0.8469
2002-07-09,BHARTI,EQ,34.0,34.3,34.35,33.45,33.65,33.55,33.72,296310,999070435000.0,,232878.0,0.7859
2002-07-10,BHARTI,EQ,33.55,34.2,34.45,33.35,33.45,33.45,33.67,378638,1274963690000.0,,286144.0,0.7556999999999999
2002-07-11,BHARTI,EQ,33.45,34.0,34.0,32.5,32.7,32.6,33.1,498249,1649209470000.0,,374699.0,0.752
2002-07-12,BHARTI,EQ,32.6,33.2,33.2,31.95,32.25,32.1,32.4,546586,1770958655000.0,,445062.0,0.8143000000000001
2002-07-15,BHARTI,EQ,32.1,32.0,32.35,31.65,31.75,31.8,31.94,276326,882558519999.9999,,228793.0,0.828
2002-07-16,BHARTI,EQ,31.8,30.95,32.0,30.95,31.65,31.75,31.81,220883,702683145000.0,,164169.0,0.7432
2002-07-17,BHARTI,EQ,31.75,31.6,31.95,31.05,31.35,31.25,31.33,220988,692258370000.0,,158738.0,0.7183
2002-07-18,BHARTI,EQ,31.25,32.1,32.25,31.5,31.75,31.6,31.74,111224,353028105000.0,,73141.0,0.6576000000000001
2002-07-19,BHARTI,EQ,31.6,31.9,31.95,31.5,31.55,31.6,31.66,123345,390494570000.0,,72328.0,0.5864
2002-07-22,BHARTI,EQ,31.6,31.8,31.9,31.0,31.45,31.45,31.39,194096,609215885000.0,,151402.0,0.78
2002-07-23,BHARTI,EQ,31.45,31.5,31.5,30.55,31.0,31.1,31.06,218885,679873740000.0,,158347.0,0.7234
2002-07-24,BHARTI,EQ,31.1,31.2,31.2,30.5,30.85,30.8,30.79,112715,347042725000.0,,88831.0,0.7881
2002-07-25,BHARTI,EQ,30.8,31.5,32.0,31.15,31.15,31.2,31.45,177297,557563440000.0,,112154.0,0.6325999999999999
2002-07-26,BHARTI,EQ,31.2,30.6,31.0,30.15,30.5,30.5,30.55,197183,602458300000.0,,142923.0,0.7248
2002-07-29,BHARTI,EQ,30.5,31.5,31.5,30.25,30.6,30.5,30.5,221387,675195805000.0,,188329.0,0.8506999999999999
2002-07-30,BHARTI,EQ,30.5,31.5,31.5,30.35,30.5,30.45,30.57,210715,644081095000.0,,174145.0,0.8264
2002-07-31,BHARTI,EQ,30.45,30.5,31.6,29.3,31.15,31.35,30.67,427374,1310778960000.0,,269690.0,0.631
2002-08-01,BHARTI,EQ,31.35,31.0,31.1,29.9,30.3,30.25,30.31,277918,842310540000.0,,213599.0,0.7686000000000001
2002-08-02,BHARTI,EQ,30.25,30.1,30.3,29.8,30.15,30.15,30.06,126344,379775800000.0,,91011.0,0.7203
2002-08-05,BHARTI,EQ,30.15,30.3,30.5,30.1,30.15,30.2,30.3,59909,181509565000.0,,43263.0,0.7221
2002-08-06,BHARTI,EQ,30.2,30.35,30.35,29.9,30.05,30.0,30.03,121860,365941650000.0,,109993.0,0.9026000000000001
2002-08-07,BHARTI,EQ,30.0,30.45,30.55,29.8,30.0,30.0,30.05,132852,399211195000.0,,104832.0,0.7891
2002-08-08,BHARTI,EQ,30.0,30.35,30.35,29.85,30.2,30.0,30.04,82212,246964875000.0,,65683.0,0.7989
2002-08-09,BHARTI,EQ,30.0,29.95,30.2,29.85,30.0,30.0,30.02,101452,304516935000.0,,87517.0,0.8626
2002-08-12,BHARTI,EQ,30.0,30.0,30.3,29.8,30.15,30.25,30.12,74424,224193750000.0,,59283.0,0.7966
2002-08-13,BHARTI,EQ,30.25,30.15,30.5,30.0,30.35,30.35,30.27,36201,109564025000.0,,28284.0,0.7813
2002-08-14,BHARTI,EQ,30.35,30.15,30.5,30.15,30.35,30.3,30.29,37079,112322320000.0,,32407.0,0.8740000000000001
2002-08-16,BHARTI,EQ,30.3,30.5,31.75,30.25,31.6,31.35,31.2,148689,463930245000.0,,91287.0,0.6139
2002-08-19,BHARTI,EQ,31.35,31.2,32.5,30.8,32.1,32.25,31.86,171638,546771505000.0,,112005.0,0.6526000000000001
2002-08-20,BHARTI,EQ,32.25,32.8,33.6,32.1,33.25,33.1,33.03,298633,986470394999.9999,,204394.0,0.6844
2002-08-21,BHARTI,EQ,33.1,33.75,33.75,32.0,33.1,33.25,33.26,125197,416430080000.0,,86982.0,0.6948000000000001
2002-08-22,BHARTI,EQ,33.25,33.5,33.5,32.15,32.3,32.3,32.7,85556,279777495000.0,,55661.0,0.6506000000000001
2002-08-23,BHARTI,EQ,32.3,32.5,33.0,32.1,33.0,32.55,32.41,77472,251113945000.00003,,51599.0,0.6659999999999999
2002-08-26,BHARTI,EQ,32.55,32.8,33.0,32.2,32.25,32.35,32.55,43662,142134460000.0,,26072.0,0.5971000000000001
2002-08-27,BHARTI,EQ,32.35,32.35,32.55,32.05,32.15,32.1,32.28,58757,189667955000.0,,42763.0,0.7278
2002-08-28,BHARTI,EQ,32.1,32.3,32.3,31.45,31.95,31.95,31.9,80606,257138800000.0,,67958.0,0.8431000000000001
2002-08-29,BHARTI,EQ,31.95,32.0,32.1,31.05,31.05,31.1,31.46,59884,188403785000.0,,43162.0,0.7208
2002-08-30,BHARTI,EQ,31.1,31.0,32.9,30.85,32.5,32.5,31.98,214136,684892325000.0,,173384.0,0.8097
2002-09-02,BHARTI,EQ,32.5,33.0,33.85,32.65,33.0,32.95,33.15,207295,687106780000.0,,129443.0,0.6244
2002-09-03,BHARTI,EQ,32.95,32.75,32.75,32.1,32.35,32.45,32.41,94889,307548875000.0,,60753.0,0.6403
2002-09-04,BHARTI,EQ,32.45,32.0,33.6,32.0,33.0,32.9,32.88,177676,584143290000.0,,86363.0,0.48610000000000003
2002-09-05,BHARTI,EQ,32.9,33.3,33.5,32.9,33.0,33.0,33.11,112637,372984690000.0,,80278.0,0.7127
2002-09-06,BHARTI,EQ,33.0,33.5,33.5,32.3,32.4,32.5,32.76,105028,344102150000.0,,67559.0,0.6432
2002-09-09,BHARTI,EQ,32.5,32.1,32.9,31.75,31.75,31.85,32.03,201523,645578030000.0,,181086.0,0.8986000000000001
2002-09-11,BHARTI,EQ,31.85,32.6,32.6,31.7,32.0,31.9,31.9,38624,123203464999.99998,,31739.0,0.8217
2002-09-12,BHARTI,EQ,31.9,32.0,34.3,31.8,32.55,32.5,33.02,253743,837875280000.0,,73545.0,0.2898
2002-09-13,BHARTI,EQ,32.5,32.95,34.5,32.5,34.0,34.05,33.94,1269675,4309435535000.0,,906123.0,0.7137000000000001
2002-09-16,BHARTI,EQ,34.05,34.2,35.35,32.45,34.35,34.25,34.88,493652,1721889639999.9998,,275768.0,0.5586
2002-09-17,BHARTI,EQ,34.25,34.75,35.05,34.0,34.85,34.85,34.74,1196452,4156281145000.0005,,1045682.0,0.8740000000000001
2002-09-18,BHARTI,EQ,34.85,34.9,35.25,34.15,34.15,34.3,34.58,194907,674025010000.0,,117754.0,0.6042000000000001
2002-09-19,BHARTI,EQ,34.3,33.6,35.0,30.65,31.25,31.4,33.83,3223173,10903913605000.0,,2718755.0,0.8434999999999999
2002-09-20,BHARTI,EQ,31.4,31.5,34.15,31.0,33.7,33.7,32.75,572997,1876404685000.0002,,455879.0,0.7956000000000001
2002-09-23,BHARTI,EQ,33.7,33.85,33.9,32.5,32.55,32.65,32.93,77977,256779245000.00003,,43100.0,0.5527000000000001
2002-09-24,BHARTI,EQ,32.65,32.5,32.5,31.0,31.1,31.15,31.25,472313,1476059330000.0,,304288.0,0.6443000000000001
2002-09-25,BHARTI,EQ,31.15,31.0,32.6,30.9,31.5,31.65,31.79,338969,1077452815000.0,,147127.0,0.434
2002-09-26,BHARTI,EQ,31.65,31.5,32.1,31.2,31.35,31.35,31.59,151451,478502405000.0,,83478.0,0.5512
2002-09-27,BHARTI,EQ,31.35,31.9,32.35,31.25,32.15,32.0,31.81,134502,427900925000.0,,,
2002-09-30,BHARTI,EQ,32.0,32.0,32.0,31.2,31.4,31.3,31.46,92504,290999545000.0,,138451.0,0.6099
2002-10-01,BHARTI,EQ,31.3,31.5,32.15,31.35,32.05,32.05,31.75,182073,578002425000.0,,148430.0,0.8151999999999999
2002-10-03,BHARTI,EQ,32.05,32.2,32.2,31.25,31.9,32.0,31.95,123567,394838930000.0,,81729.0,0.6614
2002-10-04,BHARTI,EQ,32.0,32.2,32.2,31.75,32.05,32.05,32.02,108118,346193065000.0,,83056.0,0.7682
2002-10-07,BHARTI,EQ,32.05,31.95,32.1,31.5,31.55,31.85,31.9,135318,431723495000.0,,114353.0,0.8451000000000001
2002-10-08,BHARTI,EQ,31.85,32.05,36.95,31.3,31.8,32.0,32.01,282030,902862265000.0,,257456.0,0.9129
2002-10-09,BHARTI,EQ,32.0,32.2,32.4,31.55,31.55,31.6,31.92,81933,261565200000.0,,64496.0,0.7872
2002-10-10,BHARTI,EQ,31.6,31.5,31.7,31.3,31.35,31.4,31.47,43406,136614350000.0,,29978.0,0.6906
2002-10-11,BHARTI,EQ,31.4,31.85,31.85,31.15,31.3,31.3,31.59,54553,172329125000.0,,46127.0,0.8455
2002-10-14,BHARTI,EQ,31.3,31.9,31.9,31.0,31.05,31.1,31.26,37893,118456585000.00002,,27007.0,0.7127
2002-10-16,BHARTI,EQ,31.1,31.45,31.5,30.2,30.3,30.4,30.48,222161,677068140000.0,,145543.0,0.6551
2002-10-17,BHARTI,EQ,30.4,30.35,30.5,29.85,29.95,29.95,30.01,133711,401284570000.0,,119746.0,0.8956000000000001
2002-10-18,BHARTI,EQ,29.95,30.0,30.2,29.75,29.8,29.8,29.96,149237,447135345000.0,,123422.0,0.8270000000000001
2002-10-21,BHARTI,EQ,29.8,29.7,30.0,29.5,29.5,29.65,29.74,66233,196968340000.0,,56681.0,0.8558
2002-10-22,BHARTI,EQ,29.65,29.5,29.7,28.75,28.75,29.0,29.18,85597,249767904999.99997,,68706.0,0.8027
2002-10-23,BHARTI,EQ,29.0,28.9,29.1,27.5,27.85,27.8,27.98,139503,390347290000.0,,99540.0,0.7134999999999999
2002-10-24,BHARTI,EQ,27.8,28.0,28.0,27.5,27.5,27.55,27.65,103314,285707670000.0,,84401.0,0.8169
2002-10-25,BHARTI,EQ,27.55,27.25,27.5,26.1,26.2,26.5,26.85,189719,509409900000.0,,153439.0,0.8088
2002-10-28,BHARTI,EQ,26.5,26.5,26.5,24.1,24.9,24.9,25.02,348165,871111694999.9999,,258802.0,0.7433
2002-10-29,BHARTI,EQ,24.9,25.25,25.45,24.25,25.0,25.1,24.92,363920,906784805000.0001,,228944.0,0.6291
2002-10-30,BHARTI,EQ,25.1,23.9,27.0,23.9,26.25,26.05,26.16,383459,1003214940000.0,,234374.0,0.6112
2002-10-31,BHARTI,EQ,26.05,26.5,26.5,25.35,26.5,25.95,25.81,136047,351195250000.0,,83309.0,0.6124
2002-11-01,BHARTI,EQ,25.95,25.5,26.25,25.3,25.85,25.9,25.79,57808,149103060000.0,,,
2002-11-04,BHARTI,EQ,25.9,26.0,26.7,25.8,26.2,26.15,26.11,28246,73739665000.0,,53745.0,0.6245
2002-11-05,BHARTI,EQ,26.15,25.8,25.85,25.3,25.3,25.45,25.56,68527,175142025000.0,,46813.0,0.6831
2002-11-07,BHARTI,EQ,25.45,25.4,25.7,25.05,25.1,25.15,25.37,67242,170579710000.0,,43987.0,0.6542
2002-11-08,BHARTI,EQ,25.15,25.1,25.1,24.75,24.95,24.9,24.91,71493,178094945000.0,,50559.0,0.7072
2002-11-11,BHARTI,EQ,24.9,25.0,25.0,24.3,24.4,24.55,24.58,305944,752140050000.0,,278877.0,0.9115000000000001
2002-11-12,BHARTI,EQ,24.55,24.6,24.7,24.4,24.4,24.45,24.52,36610,89755835000.0,,26489.0,0.7234999999999999
2002-11-13,BHARTI,EQ,24.45,25.0,25.0,24.4,24.55,24.55,24.81,74962,186009065000.0,,51136.0,0.6822
2002-11-14,BHARTI,EQ,24.55,25.25,25.25,23.8,23.8,23.85,24.05,180216,433344415000.00006,,138024.0,0.7659
2002-11-15,BHARTI,EQ,23.85,24.0,24.25,22.9,23.05,23.0,23.62,504236,1191193040000.0,,353935.0,0.7019
2002-11-18,BHARTI,EQ,23.0,24.5,24.5,22.45,22.95,22.85,22.93,368274,844274544999.9999,,260611.0,0.7077
2002-11-20,BHARTI,EQ,22.85,23.45,23.6,22.75,22.75,22.85,23.11,303861,702366805000.0,,200915.0,0.6612
2002-11-21,BHARTI,EQ,22.85,22.8,23.1,22.15,22.2,22.25,22.55,314228,708430335000.0,,217093.0,0.6909000000000001
2002-11-22,BHARTI,EQ,22.25,21.8,22.95,21.8,22.5,22.45,22.54,218914,493534659999.99994,,143368.0,0.6548999999999999
2002-11-25,BHARTI,EQ,22.45,22.55,23.5,22.5,23.3,23.15,23.03,394578,908902830000.0001,,298255.0,0.7559
2002-11-26,BHARTI,EQ,23.15,23.5,24.35,23.45,23.95,24.05,24.04,446270,1072958990000.0,,330762.0,0.7412000000000001
2002-11-27,BHARTI,EQ,24.05,24.2,24.25,23.7,24.0,23.95,24.02,221102,531090005000.0,,164516.0,0.7441
2002-11-28,BHARTI,EQ,23.95,24.25,24.4,24.05,24.15,24.15,24.21,139061,336659600000.0,,100191.0,0.7205
2002-11-29,BHARTI,EQ,24.15,24.25,25.25,23.25,25.05,24.95,24.56,598102,1468651750000.0,,488533.0,0.8168000000000001
2002-12-02,BHARTI,EQ,24.95,25.25,25.9,25.0,25.4,25.35,25.53,264146,674280020000.0,,183935.0,0.6962999999999999
