Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,BPCL,EQ,381.2,405.0,407.0,393.05,397.75,399.25,399.32,8720,348202920000.0,,,
2000-01-04,BPCL,EQ,399.25,397.75,397.75,367.4,377.45,370.5,375.71,22820,857369935000.0,,,
2000-01-05,BPCL,EQ,370.5,350.0,385.0,350.0,360.1,359.95,359.96,152538,5490785425000.0,,,
2000-01-06,BPCL,EQ,359.95,362.0,384.0,362.0,381.65,380.3,380.1,59554,2263622690000.0,,,
2000-01-07,BPCL,EQ,380.3,369.0,390.0,366.0,381.5,379.85,378.33,43187,1633889860000.0,,,
2000-01-10,BPCL,EQ,379.85,380.0,394.5,380.0,383.2,384.95,387.76,52234,2025402100000.0,,,
2000-01-11,BPCL,EQ,384.95,385.0,385.0,366.0,370.25,372.8,371.95,17112,636485110000.0,,,
2000-01-12,BPCL,EQ,372.8,380.0,382.0,375.0,378.0,378.0,376.3,5783,217614045000.00003,,,
2000-01-13,BPCL,EQ,378.0,380.0,380.0,373.0,378.0,376.0,375.05,2297,86148750000.0,,,
2000-01-14,BPCL,EQ,376.0,378.0,382.0,373.0,373.0,374.4,379.33,18856,715265880000.0,,,
2000-01-17,BPCL,EQ,374.4,379.0,379.0,372.0,377.0,375.85,377.91,133538,5046554705000.0,,,
2000-01-18,BPCL,EQ,375.85,375.0,391.95,373.1,380.95,380.75,380.39,39481,1501833860000.0,,,
2000-01-19,BPCL,EQ,380.75,381.3,389.8,375.0,376.9,376.85,379.39,41115,1559879300000.0,,,
2000-01-20,BPCL,EQ,376.85,376.0,378.0,369.0,373.0,371.2,374.94,25740,965102500000.0,,,
2000-01-21,BPCL,EQ,371.2,372.5,372.5,367.0,369.9,369.3,369.41,5960,220169395000.00003,,,
2000-01-24,BPCL,EQ,369.3,385.0,385.0,352.1,352.1,355.2,361.86,6035,218382604999.99997,,,
2000-01-25,BPCL,EQ,355.2,350.0,360.0,345.0,350.0,348.55,350.78,52396,1837940170000.0,,,
2000-01-27,BPCL,EQ,348.55,355.0,376.45,350.05,366.0,365.9,361.75,135737,4910252890000.0,,,
2000-01-28,BPCL,EQ,365.9,337.35,392.4,337.35,378.0,375.25,373.5,79935,2985536410000.0,,,
2000-01-31,BPCL,EQ,375.25,370.0,385.0,370.0,381.25,382.2,380.99,31151,1186816670000.0,,,
2000-02-01,BPCL,EQ,382.2,380.0,390.0,376.0,380.95,378.95,380.94,60620,2309278385000.0,,,
2000-02-02,BPCL,EQ,378.95,384.0,409.0,382.5,392.25,400.3,394.58,168656,6654781085000.0,,,
2000-02-03,BPCL,EQ,400.3,400.0,405.0,368.3,385.9,381.8,381.83,93248,3560455129999.9995,,,
