Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,BRITANNIA,EQ,703.25,705.0,759.5,705.0,758.0,756.9,741.01,7512,556648765000.0,,,
2000-01-04,BRITANNIA,EQ,756.9,710.0,770.0,710.0,740.0,754.55,742.52,8135,604039070000.0,,,
2000-01-05,BRITANNIA,EQ,754.55,755.0,759.0,705.0,740.0,735.3,739.92,6095,450978430000.0,,,
2000-01-06,BRITANNIA,EQ,735.3,740.0,794.15,740.0,770.0,785.65,788.83,19697,1553755555000.0,,,
2000-01-07,BRITANNIA,EQ,785.65,808.0,848.5,798.0,848.5,848.5,827.53,33107,2739708030000.0,,,
2000-01-10,BRITANNIA,EQ,848.5,900.0,916.4,865.0,916.4,912.2,905.42,29575,2677784025000.0,,,
2000-01-11,BRITANNIA,EQ,912.2,920.0,920.0,839.25,865.0,853.75,858.02,20635,1770515830000.0,,,
2000-01-12,BRITANNIA,EQ,853.75,900.0,900.0,860.55,890.95,882.7,885.18,9312,824275625000.0,,,
2000-01-13,BRITANNIA,EQ,882.7,890.0,920.0,875.0,885.0,881.4,898.96,19526,1755312510000.0002,,,
2000-01-14,BRITANNIA,EQ,881.4,872.5,880.0,864.0,870.0,869.65,873.91,15675,1369847005000.0,,,
2000-01-17,BRITANNIA,EQ,869.65,880.0,890.0,870.0,878.0,875.95,881.0,7125,627709975000.0,,,
2000-01-18,BRITANNIA,EQ,875.95,870.1,899.0,868.0,890.0,881.05,880.59,12526,1103028770000.0,,,
2000-01-19,BRITANNIA,EQ,881.05,889.0,911.0,889.0,906.5,900.85,901.81,14108,1272275700000.0,,,
2000-01-20,BRITANNIA,EQ,900.85,907.0,919.9,893.55,894.0,895.7,905.26,5671,513373240000.00006,,,
2000-01-21,BRITANNIA,EQ,895.7,897.9,897.9,885.25,890.0,888.25,888.42,1888,167733625000.0,,,
2000-01-24,BRITANNIA,EQ,888.25,880.0,895.0,851.0,886.0,884.75,877.38,6351,557221075000.0,,,
2000-01-25,BRITANNIA,EQ,884.75,871.0,890.0,870.0,870.0,881.25,878.74,6859,602726660000.0,,,
2000-01-27,BRITANNIA,EQ,881.25,865.9,885.0,810.75,825.15,830.3,833.19,14678,1222953695000.0,,,
2000-01-28,BRITANNIA,EQ,830.3,800.0,815.0,782.0,790.0,792.45,796.65,6418,511293065000.00006,,,
2000-01-31,BRITANNIA,EQ,792.45,778.65,788.0,729.25,752.0,746.75,759.2,5416,411183495000.0,,,
2000-02-01,BRITANNIA,EQ,746.75,751.0,759.0,721.0,725.0,731.5,738.07,7347,542263470000.0,,,
2000-02-02,BRITANNIA,EQ,731.5,740.0,752.0,700.0,735.0,731.05,739.03,4939,365004875000.0,,,
2000-02-03,BRITANNIA,EQ,731.05,750.0,750.0,695.0,715.0,714.15,713.32,11619,828807280000.0,,,
2000-02-04,BRITANNIA,EQ,714.15,720.0,720.0,706.0,715.0,713.5,711.8,13147,935798410000.0,,,
2000-02-07,BRITANNIA,EQ,713.5,701.0,717.0,700.0,704.8,701.7,708.3,7195,509621615000.00006,,,
2000-02-08,BRITANNIA,EQ,701.7,704.0,704.0,680.0,683.0,685.5,687.66,15083,1037202494999.9999,,,
2000-02-09,BRITANNIA,EQ,685.5,714.0,740.35,695.0,704.1,707.4,711.68,23357,1662261475000.0,,,
2000-02-10,BRITANNIA,EQ,707.4,719.0,730.0,707.0,715.0,712.1,715.42,11341,811360210000.0,,,
2000-02-11,BRITANNIA,EQ,712.1,723.0,729.0,700.0,710.0,704.15,712.06,20795,1480718980000.0,,,
2000-02-14,BRITANNIA,EQ,704.15,710.0,711.0,690.0,693.0,690.6,696.07,7765,540501365000.00006,,,
2000-02-15,BRITANNIA,EQ,690.6,681.0,681.0,640.0,668.0,653.3,657.71,18622,1224789220000.0,,,
2000-02-16,BRITANNIA,EQ,653.3,670.0,680.0,662.0,680.0,674.7,671.57,10876,730403075000.0,,,
2000-02-17,BRITANNIA,EQ,674.7,670.0,698.0,670.0,674.0,677.0,679.09,8926,606158925000.0,,,
2000-02-18,BRITANNIA,EQ,677.0,670.0,694.9,661.0,675.0,667.05,670.66,11460,768575640000.0,,,
2000-02-21,BRITANNIA,EQ,667.05,675.0,690.0,655.0,670.0,665.7,669.13,7993,534831670000.0,,,
2000-02-22,BRITANNIA,EQ,665.7,670.0,670.0,655.0,659.9,657.45,660.67,11142,736118440000.0,,,
2000-02-23,BRITANNIA,EQ,657.45,658.0,680.0,655.0,670.0,665.65,668.06,5793,387009975000.0,,,
2000-02-24,BRITANNIA,EQ,665.65,675.0,677.0,642.0,665.0,662.1,658.93,8205,540654455000.0,,,
2000-02-25,BRITANNIA,EQ,662.1,674.0,674.0,640.0,645.0,641.85,654.42,6346,415294145000.0,,,
2000-02-28,BRITANNIA,EQ,641.85,640.0,656.0,609.15,634.5,635.85,640.47,9071,580968260000.0,,,
2000-02-29,BRITANNIA,EQ,635.85,650.0,659.85,605.0,605.0,611.5,634.25,16183,1026404694999.9999,,,
2000-03-01,BRITANNIA,EQ,611.5,625.0,625.0,562.6,562.6,562.6,569.89,9303,530165975000.0,,,
2000-03-02,BRITANNIA,EQ,562.6,527.0,530.0,517.6,517.6,517.6,518.26,8703,451039380000.0,,,
2000-03-03,BRITANNIA,EQ,517.6,476.2,545.45,476.2,500.0,504.6,487.22,26306,1281684950000.0,,,
2000-03-06,BRITANNIA,EQ,504.6,525.0,525.0,464.25,476.25,475.3,481.61,18609,896227985000.0,,,
