Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-11-04,COALINDIA,EQ,245.0,291.0,344.9,291.0,342.0,342.55,327.29,479716245,1.5700395821970002e+16,,187584905,0.391
2010-11-05,COALINDIA,EQ,342.55,343.0,356.5,343.0,348.3,349.85,349.78,31927173,1116747196654999.9,,10894509,0.3412
2010-11-08,COALINDIA,EQ,349.85,351.8,355.9,329.5,331.4,330.75,335.19,46932779,1573117519380000.0,,16651623,0.35479999999999995
2010-11-09,COALINDIA,EQ,330.75,330.15,333.4,325.0,325.4,326.05,327.75,23741956,778138279065000.0,,12977359,0.5466
2010-11-10,COALINDIA,EQ,326.05,325.4,327.8,320.05,321.3,322.8,323.78,21057129,681798175450000.0,,6280335,0.2983
2010-11-11,COALINDIA,EQ,322.8,323.0,336.95,321.85,329.6,328.55,331.43,26548372,879901818535000.0,,9365609,0.3528
2010-11-12,COALINDIA,EQ,328.55,330.0,332.95,318.0,320.55,320.15,325.77,15004107,488787167610000.06,,5797721,0.3864
2010-11-15,COALINDIA,EQ,320.15,321.2,322.9,315.05,318.1,317.2,319.39,9917395,316754376770000.0,,4812011,0.4852
2010-11-16,COALINDIA,EQ,317.2,320.0,323.95,316.1,317.5,318.05,319.21,12100114,386246039530000.0,,6620732,0.5472
2010-11-18,COALINDIA,EQ,318.05,319.6,328.95,310.0,327.3,326.9,319.09,23983896,765294094650000.0,,9152722,0.3816
2010-11-19,COALINDIA,EQ,326.9,330.25,339.95,328.1,329.0,333.55,335.77,51723739,1736720337450000.0,,29007804,0.5608
2010-11-22,COALINDIA,EQ,333.55,336.0,337.0,315.0,333.4,333.35,334.26,11494521,384220846470000.0,,5404879,0.47020000000000006
2010-11-23,COALINDIA,EQ,333.35,330.5,332.4,317.5,320.0,320.15,325.22,13147667,427583933645000.0,,6669468,0.5073
2010-11-24,COALINDIA,EQ,320.15,329.35,329.35,310.0,310.7,310.8,314.45,16243562,510773398475000.0,,8839387,0.5442
2010-11-25,COALINDIA,EQ,310.8,314.0,318.35,311.1,313.75,313.2,314.49,6489260,204078577355000.0,,3185621,0.49090000000000006
2010-11-26,COALINDIA,EQ,313.2,315.0,316.0,301.0,313.5,312.7,309.3,13657322,422424385015000.0,,7651121,0.5602
2010-11-29,COALINDIA,EQ,312.7,311.4,319.7,308.2,319.0,317.45,314.03,6493219,203907269225000.0,,3466858,0.5339
