Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,DRREDDY,EQ,1396.5,1505.0,1508.25,1505.0,1508.25,1508.25,1508.21,13280,2002904375000.0,,,
2000-01-04,DRREDDY,EQ,1508.25,1590.0,1628.95,1510.0,1628.95,1628.95,1579.29,57142,9024404910000.0,,,
2000-01-05,DRREDDY,EQ,1628.95,1549.0,1650.0,1499.0,1566.0,1568.05,1594.99,119697,19091553600000.0,,,
2000-01-06,DRREDDY,EQ,1568.05,1599.0,1693.5,1571.0,1693.5,1661.55,1632.11,121966,19906246590000.0,,,
2000-01-07,DRREDDY,EQ,1661.55,1685.0,1685.0,1528.65,1528.65,1529.1,1585.24,79641,12624973610000.0,,,
2000-01-10,DRREDDY,EQ,1529.1,1560.0,1560.0,1407.5,1502.0,1503.9,1503.84,62612,9415849660000.0,,,
2000-01-11,DRREDDY,EQ,1503.9,1512.0,1529.0,1384.0,1436.0,1446.6,1449.71,89184,12929137705000.0,,,
2000-01-12,DRREDDY,EQ,1446.6,1460.0,1540.0,1460.0,1486.05,1490.9,1496.5,31611,4730600895000.0,,,
2000-01-13,DRREDDY,EQ,1490.9,1485.0,1545.0,1461.0,1470.05,1477.45,1511.43,39753,6008397020000.0,,,
2000-01-14,DRREDDY,EQ,1477.45,1470.05,1510.0,1412.0,1486.45,1473.5,1458.08,46272,6746848115000.001,,,
2000-01-17,DRREDDY,EQ,1473.5,1515.0,1570.0,1495.0,1495.0,1508.75,1533.26,67750,10387852905000.0,,,
2000-01-18,DRREDDY,EQ,1508.75,1475.0,1475.0,1431.05,1450.0,1450.35,1450.67,44008,6384103740000.0,,,
2000-01-19,DRREDDY,EQ,1450.35,1490.0,1566.4,1465.0,1566.4,1566.4,1539.85,77430,11923058835000.0,,,
2000-01-20,DRREDDY,EQ,1566.4,1600.0,1649.75,1515.05,1548.9,1537.05,1593.07,225319,35894912745000.0,,,
2000-01-21,DRREDDY,EQ,1537.05,1580.0,1580.0,1530.0,1567.8,1551.5,1549.77,57911,8974898580000.0,,,
2000-01-24,DRREDDY,EQ,1551.5,1580.0,1590.0,1510.1,1515.0,1521.0,1556.22,54652,8505038134999.999,,,
2000-01-25,DRREDDY,EQ,1521.0,1480.0,1519.0,1445.0,1464.0,1453.85,1471.03,77439,11391517055000.0,,,
2000-01-27,DRREDDY,EQ,1453.85,1485.0,1549.0,1460.0,1465.0,1470.35,1498.46,114477,17153932415000.0,,,
2000-01-28,DRREDDY,EQ,1470.35,1484.0,1492.0,1410.0,1425.0,1428.9,1457.76,78901,11501860770000.0,,,
2000-01-31,DRREDDY,EQ,1428.9,1440.0,1450.0,1350.0,1363.1,1366.8,1396.9,39291,5488548875000.0,,,
2000-02-01,DRREDDY,EQ,1366.8,1350.0,1419.0,1333.0,1415.0,1400.25,1382.81,88075,12179130295000.0,,,
2000-02-02,DRREDDY,EQ,1400.25,1459.0,1512.3,1450.0,1495.0,1496.0,1492.88,104003,15526437605000.002,,,
2000-02-03,DRREDDY,EQ,1496.0,1510.0,1534.8,1480.0,1489.5,1490.35,1507.14,35746,5387405460000.0,,,
2000-02-04,DRREDDY,EQ,1490.35,1510.0,1550.0,1466.05,1479.0,1481.1,1480.68,29143,4315143645000.0005,,,
2000-02-07,DRREDDY,EQ,1481.1,1445.0,1462.0,1362.65,1362.65,1364.1,1390.68,75093,10443069865000.0,,,
2000-02-08,DRREDDY,EQ,1364.1,1320.0,1400.0,1320.0,1387.0,1387.95,1386.54,69268,9604311465000.0,,,
2000-02-09,DRREDDY,EQ,1387.95,1481.0,1481.0,1400.0,1416.0,1413.25,1426.48,37295,5320047675000.0,,,
2000-02-10,DRREDDY,EQ,1413.25,1400.0,1430.0,1399.0,1417.0,1418.2,1414.48,13794,1951131875000.0,,,
2000-02-11,DRREDDY,EQ,1418.2,1431.5,1431.5,1381.0,1410.0,1412.5,1410.11,24390,3439259985000.0,,,
2000-02-14,DRREDDY,EQ,1412.5,1386.0,1409.9,1350.0,1363.0,1362.15,1377.42,22131,3048363510000.0,,,
2000-02-15,DRREDDY,EQ,1362.15,1350.0,1390.0,1325.0,1385.0,1350.85,1347.5,42801,5767427275000.0,,,
2000-02-16,DRREDDY,EQ,1350.85,1355.0,1399.0,1355.0,1385.0,1379.2,1374.26,16216,2228506240000.0,,,
2000-02-17,DRREDDY,EQ,1379.2,1402.0,1489.55,1402.0,1489.55,1489.55,1486.74,8828,1312489665000.0,,,
2000-02-18,DRREDDY,EQ,1489.55,1608.75,1608.75,1608.75,1608.75,1608.75,1608.75,51904,8350056000000.0,,,
2000-02-21,DRREDDY,EQ,1608.75,1700.0,1721.0,1541.05,1562.0,1573.25,1607.38,88857,14282698130000.002,,,
2000-02-22,DRREDDY,EQ,1573.25,1540.0,1579.0,1461.0,1483.0,1473.0,1496.49,63311,9474452080000.0,,,
2000-02-23,DRREDDY,EQ,1473.0,1575.0,1590.85,1555.0,1590.85,1590.85,1588.24,48977,7778738680000.0,,,
2000-02-24,DRREDDY,EQ,1590.85,1649.0,1649.5,1500.1,1578.0,1568.95,1587.43,49819,7908417725000.0,,,
2000-02-25,DRREDDY,EQ,1568.95,1580.0,1600.0,1534.0,1573.0,1555.25,1569.58,44068,6916804184999.999,,,
2000-02-28,DRREDDY,EQ,1555.25,1570.0,1679.7,1553.0,1665.0,1669.5,1640.91,118657,19470516960000.0,,,
2000-02-29,DRREDDY,EQ,1669.5,1700.0,1803.0,1535.95,1535.95,1550.05,1716.94,110112,18905619745000.0,,,
2000-03-01,DRREDDY,EQ,1550.05,1580.0,1580.0,1426.05,1524.0,1527.0,1472.06,256491,37757014000000.0,,,
2000-03-02,DRREDDY,EQ,1527.0,1549.0,1550.0,1404.85,1404.85,1405.8,1445.96,92002,13303161360000.0,,,
2000-03-03,DRREDDY,EQ,1405.8,1350.0,1350.0,1293.35,1293.35,1293.35,1299.02,87171,11323710390000.0,,,
2000-03-06,DRREDDY,EQ,1293.35,1300.0,1360.0,1276.5,1309.9,1313.6,1304.02,80414,10486158620000.0,,,
2000-03-07,DRREDDY,EQ,1313.6,1300.05,1418.7,1282.0,1418.7,1417.05,1334.0,103067,13749149790000.0,,,
2000-03-08,DRREDDY,EQ,1417.05,1448.85,1448.85,1304.0,1304.0,1315.0,1358.35,50355,6839955090000.001,,,
2000-03-09,DRREDDY,EQ,1315.0,1310.0,1329.0,1209.8,1209.8,1209.8,1236.4,53164,6573200485000.0,,,
