Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,EICHERMOT,EQ,45.2,48.0,48.85,48.0,48.85,48.85,48.75,4100,19987000000.0,,,
2000-01-04,EICHERMOT,EQ,48.85,52.0,52.75,50.15,51.8,51.4,51.44,49100,252588000000.0,,,
2000-01-05,EICHERMOT,EQ,51.4,55.0,55.55,51.05,55.55,55.55,53.99,47800,258073000000.0,,,
2000-01-06,EICHERMOT,EQ,55.55,59.75,60.0,57.3,60.0,60.0,59.75,106200,634546500000.0,,,
2000-01-07,EICHERMOT,EQ,60.0,64.0,64.8,60.1,64.8,64.65,64.08,115500,740130000000.0,,,
2000-01-10,EICHERMOT,EQ,64.65,67.95,68.5,61.5,65.25,65.5,64.22,107100,687783500000.0,,,
2000-01-11,EICHERMOT,EQ,65.5,62.8,64.0,60.3,62.45,61.6,61.55,107700,662862000000.0,,,
2000-01-12,EICHERMOT,EQ,61.6,62.0,65.25,61.15,65.0,63.95,64.16,62200,399084000000.0,,,
2000-01-13,EICHERMOT,EQ,63.95,65.0,66.0,60.45,60.45,61.25,63.42,83300,528268000000.0,,,
2000-01-14,EICHERMOT,EQ,61.25,64.9,64.95,60.3,63.0,62.35,61.82,36100,223178500000.0,,,
2000-01-17,EICHERMOT,EQ,62.35,64.0,67.35,64.0,66.0,65.25,66.09,114100,754134500000.0,,,
2000-01-18,EICHERMOT,EQ,65.25,65.55,66.5,62.5,65.55,65.55,64.22,75600,485507500000.0,,,
2000-01-19,EICHERMOT,EQ,65.55,67.0,67.5,64.1,66.0,66.05,65.92,58100,383009500000.0,,,
2000-01-20,EICHERMOT,EQ,66.05,66.0,67.0,61.6,61.6,62.4,64.2,30900,198383000000.0,,,
2000-01-21,EICHERMOT,EQ,62.4,61.15,63.9,61.1,63.15,63.25,62.28,21500,133912500000.0,,,
2000-01-24,EICHERMOT,EQ,63.25,62.0,62.0,58.5,59.1,59.9,59.5,37900,225505500000.0,,,
2000-01-25,EICHERMOT,EQ,59.9,57.1,58.5,56.05,57.25,56.95,56.98,40200,229079000000.0,,,
2000-01-27,EICHERMOT,EQ,56.95,57.95,57.95,56.0,57.1,57.05,56.74,28400,161130500000.0,,,
2000-01-28,EICHERMOT,EQ,57.05,56.0,56.95,55.1,55.25,55.4,55.6,15600,86734000000.0,,,
2000-01-31,EICHERMOT,EQ,55.4,54.1,55.3,51.0,51.0,51.55,52.33,12700,66459500000.0,,,
2000-02-01,EICHERMOT,EQ,51.55,49.1,52.8,49.1,52.0,51.4,51.42,27500,141416500000.0,,,
2000-02-02,EICHERMOT,EQ,51.4,54.9,55.55,53.0,55.55,55.55,54.3,56500,306790000000.0,,,
2000-02-03,EICHERMOT,EQ,55.55,55.5,60.0,55.5,58.75,58.85,58.42,16200,94647000000.0,,,
2000-02-04,EICHERMOT,EQ,58.85,61.0,63.6,60.5,63.6,63.6,62.81,55300,347343500000.0,,,
2000-02-07,EICHERMOT,EQ,63.6,64.0,64.0,60.1,60.1,60.45,62.15,21000,130515500000.0,,,
2000-02-08,EICHERMOT,EQ,60.45,56.0,60.0,56.0,57.0,57.35,57.95,21600,125180000000.0,,,
2000-02-09,EICHERMOT,EQ,57.35,59.95,59.95,54.15,54.5,55.25,57.92,19500,112949500000.0,,,
2000-02-10,EICHERMOT,EQ,55.25,57.5,57.7,54.0,57.7,56.55,55.56,9700,53889500000.0,,,
2000-02-11,EICHERMOT,EQ,56.55,54.35,56.5,54.3,55.0,55.0,55.01,3900,21455500000.0,,,
2000-02-14,EICHERMOT,EQ,55.0,53.0,54.0,51.1,52.4,52.4,52.09,6500,33858000000.0,,,
2000-02-15,EICHERMOT,EQ,52.4,51.0,53.0,48.5,49.45,49.1,50.12,17500,87708000000.0,,,
2000-02-16,EICHERMOT,EQ,49.1,52.0,52.0,45.3,45.3,45.5,46.74,34600,161728000000.0,,,
2000-02-17,EICHERMOT,EQ,45.5,46.4,49.0,46.2,47.0,46.5,47.25,30800,145520000000.0,,,
2000-02-18,EICHERMOT,EQ,46.5,45.7,47.7,45.1,46.15,45.9,46.12,14600,67328500000.0,,,
2000-02-21,EICHERMOT,EQ,45.9,44.5,46.7,44.0,45.4,45.8,45.45,15000,68178500000.0,,,
2000-02-22,EICHERMOT,EQ,45.8,45.9,46.0,43.5,44.9,44.65,44.95,22600,101596000000.0,,,
2000-02-23,EICHERMOT,EQ,44.65,48.0,48.0,43.1,43.1,43.1,45.47,25500,115958000000.0,,,
2000-02-24,EICHERMOT,EQ,43.1,41.0,44.6,39.7,40.1,40.75,41.88,15600,65327500000.0,,,
2000-02-25,EICHERMOT,EQ,40.75,41.0,42.0,38.7,41.85,40.75,40.96,11500,47102500000.0,,,
2000-02-28,EICHERMOT,EQ,40.75,40.0,44.0,40.0,44.0,43.6,41.67,16100,67087000000.0,,,
2000-02-29,EICHERMOT,EQ,43.6,46.0,46.0,41.0,41.0,41.1,42.52,23700,100777000000.0,,,
2000-03-01,EICHERMOT,EQ,41.1,43.0,43.65,41.0,42.4,42.45,42.37,14100,59744000000.0,,,
2000-03-02,EICHERMOT,EQ,42.45,41.25,42.5,41.0,42.0,41.65,41.3,16500,68138500000.0,,,
2000-03-03,EICHERMOT,EQ,41.65,44.0,44.0,39.6,41.05,41.25,40.67,17000,69143000000.0,,,
2000-03-06,EICHERMOT,EQ,41.25,41.95,41.95,37.95,37.95,37.95,38.47,19400,74626500000.0,,,
2000-03-07,EICHERMOT,EQ,37.95,35.2,36.9,34.95,34.95,34.95,35.15,15000,52727000000.0,,,
2000-03-08,EICHERMOT,EQ,34.95,32.5,34.5,32.15,32.15,32.35,33.12,28100,93077500000.0,,,
2000-03-09,EICHERMOT,EQ,32.35,33.35,33.5,29.8,30.85,31.15,31.01,28400,88071000000.0,,,
2000-03-10,EICHERMOT,EQ,31.15,30.05,32.85,30.05,31.5,31.15,31.52,9200,28996500000.0,,,
2000-03-13,EICHERMOT,EQ,31.15,32.45,32.45,29.0,30.1,30.6,30.04,19200,57672500000.0,,,
2000-03-14,EICHERMOT,EQ,30.6,31.6,31.6,29.0,29.5,29.6,29.87,31900,95293500000.0,,,
2000-03-15,EICHERMOT,EQ,29.6,32.0,32.0,32.0,32.0,32.0,32.0,1500,4800000000.0,,,
2000-03-16,EICHERMOT,EQ,32.0,34.55,34.6,34.55,34.6,34.6,34.6,12100,41865500000.0,,,
2000-03-21,EICHERMOT,EQ,34.6,34.9,37.4,34.9,37.4,37.4,37.0,20700,76590400000.0,,,
2000-03-22,EICHERMOT,EQ,37.4,39.0,40.4,39.0,40.4,40.4,40.31,1500,6046000000.0,,,
2000-03-23,EICHERMOT,EQ,40.4,43.6,43.65,40.0,42.75,41.8,43.2,27500,118809500000.0,,,
2000-03-24,EICHERMOT,EQ,41.8,41.5,41.5,38.5,40.75,40.6,39.73,8275,32873675000.0,,,
2000-03-27,EICHERMOT,EQ,40.6,41.0,43.0,41.0,41.6,41.55,42.01,9785,41106525000.0,,,
2000-03-28,EICHERMOT,EQ,41.55,42.55,42.55,40.0,41.5,40.7,41.2,21350,87966975000.0,,,
2000-03-29,EICHERMOT,EQ,40.7,43.0,43.0,40.75,40.75,41.0,41.39,6800,28143000000.0,,,
2000-03-30,EICHERMOT,EQ,41.0,40.9,41.8,38.55,40.0,40.0,40.11,6001,24070000000.0,,,
2000-03-31,EICHERMOT,EQ,40.0,41.15,43.2,39.0,42.55,42.6,41.59,3699,15385500000.0,,,
2000-04-03,EICHERMOT,EQ,42.6,42.0,43.0,41.95,42.7,42.35,42.45,7950,33746000000.0,,,
2000-04-04,EICHERMOT,EQ,42.35,42.0,42.0,39.0,39.0,39.0,39.44,8110,31989500000.0,,,
2000-04-05,EICHERMOT,EQ,39.0,39.0,40.75,37.0,38.5,38.1,38.91,5850,22763000000.0,,,
2000-04-06,EICHERMOT,EQ,38.1,38.55,39.0,35.15,37.25,37.15,36.84,31575,116319900000.0,,,
2000-04-07,EICHERMOT,EQ,37.15,37.25,40.15,37.25,40.15,40.15,39.28,6050,23765500000.0,,,
2000-04-10,EICHERMOT,EQ,40.15,39.4,41.5,39.4,41.3,40.8,40.56,4103,16642490000.0,,,
2000-04-11,EICHERMOT,EQ,40.8,39.2,41.0,39.0,40.5,40.55,40.15,8419,33805215000.000004,,,
2000-04-12,EICHERMOT,EQ,40.55,40.75,43.0,40.0,42.0,42.0,41.6,10300,42846750000.0,,,
2000-04-13,EICHERMOT,EQ,42.0,41.1,42.5,41.05,41.05,41.2,41.58,3869,16088745000.000002,,,
2000-04-17,EICHERMOT,EQ,41.2,41.0,41.95,38.8,41.8,41.7,40.83,3735,15248885000.0,,,
2000-04-18,EICHERMOT,EQ,41.7,41.5,43.8,41.5,42.05,43.15,42.86,6123,26244215000.000004,,,
2000-04-19,EICHERMOT,EQ,43.15,43.5,46.4,42.0,45.0,43.65,44.45,7800,34669450000.0,,,
2000-04-20,EICHERMOT,EQ,43.65,42.65,42.7,41.25,42.25,42.45,42.21,4831,20391470000.0,,,
2000-04-24,EICHERMOT,EQ,42.45,43.0,43.0,39.1,39.55,39.7,39.91,8930,35639300000.0,,,
2000-04-25,EICHERMOT,EQ,39.7,38.5,39.75,38.0,39.5,39.7,38.77,6009,23297770000.0,,,
2000-04-26,EICHERMOT,EQ,39.7,39.65,41.0,39.65,40.0,40.25,40.32,13350,53831250000.0,,,
2000-04-27,EICHERMOT,EQ,40.25,42.35,42.35,39.75,39.75,39.8,40.09,3804,15248620000.000002,,,
2000-04-28,EICHERMOT,EQ,39.8,39.1,39.15,37.15,37.95,37.95,38.09,6149,23419815000.0,,,
2000-05-02,EICHERMOT,EQ,37.95,38.0,38.0,35.7,36.55,36.45,36.4,11056,40248105000.0,,,
2000-05-03,EICHERMOT,EQ,36.45,34.05,35.0,34.0,34.5,34.55,34.58,4315,14919625000.0,,,
2000-05-04,EICHERMOT,EQ,34.55,34.5,36.95,34.5,36.25,35.95,35.86,3100,11118075000.0,,,
2000-05-05,EICHERMOT,EQ,35.95,37.35,37.45,36.15,37.0,36.95,36.86,3050,11242075000.0,,,
2000-05-08,EICHERMOT,EQ,36.95,35.9,38.0,35.35,38.0,38.0,36.65,2300,8430000000.0,,,
2000-05-09,EICHERMOT,EQ,38.0,37.4,39.0,36.65,39.0,38.0,37.46,3315,12417675000.0,,,
2000-05-10,EICHERMOT,EQ,38.0,37.35,38.3,37.35,37.9,37.85,37.66,2501,9419845000.0,,,
2000-05-11,EICHERMOT,EQ,37.85,37.9,39.0,37.15,39.0,38.15,37.94,2101,7970900000.0,,,
2000-05-12,EICHERMOT,EQ,38.15,38.45,39.35,37.0,37.9,37.9,38.01,4000,15202500000.0,,,
2000-05-15,EICHERMOT,EQ,37.9,37.5,39.0,36.0,39.0,38.45,37.53,4115,15442175000.0,,,
2000-05-16,EICHERMOT,EQ,38.45,38.0,39.75,37.15,38.0,38.15,38.29,15705,60140505000.00001,,,
2000-05-17,EICHERMOT,EQ,38.15,40.0,40.0,37.0,37.0,37.1,37.42,2741,10257580000.0,,,
2000-05-18,EICHERMOT,EQ,37.1,37.0,37.9,37.0,37.0,37.0,37.57,550,2066500000.0,,,
2000-05-19,EICHERMOT,EQ,37.0,38.0,38.0,36.5,37.0,37.0,37.31,820,3059500000.0,,,
2000-05-22,EICHERMOT,EQ,37.0,38.0,38.0,36.15,36.15,36.15,37.22,2200,8188000000.0,,,
2000-05-23,EICHERMOT,EQ,36.15,37.5,38.0,36.25,37.0,37.5,37.55,1820,6834950000.0,,,
2000-05-24,EICHERMOT,EQ,37.5,36.05,36.5,34.5,34.5,34.55,35.08,14010,49152500000.0,,,
2000-05-25,EICHERMOT,EQ,34.55,35.7,35.7,33.05,33.05,33.55,34.0,13620,46304500000.0,,,
2000-05-26,EICHERMOT,EQ,33.55,33.5,33.7,33.1,33.1,33.3,33.45,6316,21126890000.0,,,
2000-05-29,EICHERMOT,EQ,33.3,34.0,36.0,34.0,36.0,36.0,35.46,6570,23295240000.0,,,
2000-05-30,EICHERMOT,EQ,36.0,37.0,38.9,36.0,38.9,38.9,38.36,42794,164147760000.0,,,
2000-05-31,EICHERMOT,EQ,38.9,42.0,42.0,40.5,40.75,40.9,41.48,39326,163115165000.0,,,
2000-06-01,EICHERMOT,EQ,40.9,39.1,40.7,38.05,38.05,38.35,38.95,5928,23088675000.0,,,
2000-06-02,EICHERMOT,EQ,38.35,39.05,39.2,37.1,37.95,37.45,38.29,4321,16546460000.0,,,
2000-06-05,EICHERMOT,EQ,37.45,38.0,38.95,38.0,38.1,38.15,38.25,4650,17784250000.0,,,
2000-06-06,EICHERMOT,EQ,38.15,37.0,38.0,36.2,36.95,36.6,37.02,10656,39443445000.0,,,
2000-06-07,EICHERMOT,EQ,36.6,37.5,37.5,36.2,36.2,36.45,36.84,4027,14833860000.0,,,
2000-06-08,EICHERMOT,EQ,36.45,37.35,37.45,36.1,37.05,37.0,36.94,2450,9051500000.0,,,
2000-06-09,EICHERMOT,EQ,37.0,36.5,37.75,36.5,37.75,37.35,37.17,3285,12211000000.0,,,
2000-06-12,EICHERMOT,EQ,37.35,35.0,37.5,35.0,37.5,37.5,36.83,1950,7182750000.0,,,
2000-06-13,EICHERMOT,EQ,37.5,36.0,37.5,36.0,36.55,36.9,37.06,4327,16034735000.0,,,
2000-06-14,EICHERMOT,EQ,36.9,37.1,37.15,36.5,36.95,36.95,36.91,3040,11221175000.0,,,
2000-06-15,EICHERMOT,EQ,36.95,37.0,37.0,36.1,36.7,36.5,36.54,1610,5883250000.0,,,
2000-06-16,EICHERMOT,EQ,36.5,35.55,36.9,35.55,36.8,36.5,36.29,3040,11031875000.0,,,
2000-06-19,EICHERMOT,EQ,36.5,36.2,36.2,35.25,35.5,35.5,35.65,970,3458400000.0,,,
2000-06-20,EICHERMOT,EQ,35.5,35.55,35.85,34.8,34.8,35.0,35.27,4715,16629575000.0,,,
2000-06-21,EICHERMOT,EQ,35.0,35.0,35.8,34.6,35.8,35.25,35.33,4424,15627820000.000002,,,
2000-06-22,EICHERMOT,EQ,35.25,35.1,35.5,34.65,34.65,34.65,35.0,1112,3892330000.0000005,,,
2000-06-23,EICHERMOT,EQ,34.65,35.5,35.55,34.4,34.4,34.75,35.12,2060,7233900000.0,,,
2000-06-26,EICHERMOT,EQ,34.75,34.95,35.0,34.1,34.9,34.75,34.65,1950,6756000000.0,,,
2000-06-27,EICHERMOT,EQ,34.75,35.0,35.9,34.1,34.7,34.7,34.9,4896,17087860000.0,,,
2000-06-28,EICHERMOT,EQ,34.7,35.75,36.9,35.5,35.75,35.75,35.93,1001,3596825000.0,,,
2000-06-29,EICHERMOT,EQ,35.75,34.95,35.75,34.95,35.5,35.5,35.52,1514,5377840000.0,,,
2000-06-30,EICHERMOT,EQ,35.5,35.75,35.75,34.5,34.9,34.85,34.91,4350,15184370000.000002,,,
2000-07-03,EICHERMOT,EQ,34.85,35.0,35.2,34.55,35.0,35.0,34.89,2601,9073820000.0,,,
2000-07-04,EICHERMOT,EQ,35.0,34.4,35.2,34.4,35.2,35.05,34.93,5705,19926455000.0,,,
2000-07-05,EICHERMOT,EQ,35.05,35.9,36.0,33.7,35.25,35.35,35.08,4100,14383970000.000002,,,
2000-07-06,EICHERMOT,EQ,35.35,35.5,35.5,34.15,34.2,34.2,34.88,3485,12157275000.0,,,
2000-07-07,EICHERMOT,EQ,34.2,34.0,34.25,33.75,34.0,33.95,34.04,2550,8680500000.0,,,
2000-07-10,EICHERMOT,EQ,33.95,33.5,33.85,32.55,32.7,32.7,33.14,1882,6236410000.0,,,
2000-07-11,EICHERMOT,EQ,32.7,33.0,33.2,32.55,32.55,32.85,32.92,3430,11291675000.0,,,
2000-07-12,EICHERMOT,EQ,32.85,33.25,35.5,33.25,35.5,35.15,34.12,7900,26956450000.0,,,
2000-07-13,EICHERMOT,EQ,35.15,34.25,34.25,33.6,33.6,33.6,33.89,2200,7456660000.000001,,,
2000-07-14,EICHERMOT,EQ,33.6,34.8,34.8,33.6,34.0,33.9,33.92,2200,7462000000.0,,,
2000-07-17,EICHERMOT,EQ,33.9,31.3,34.0,31.2,32.6,32.6,32.46,4946,16056210000.0,,,
2000-07-18,EICHERMOT,EQ,32.6,33.0,33.0,31.6,32.0,32.05,32.25,4995,16111225000.0,,,
2000-07-19,EICHERMOT,EQ,32.05,32.7,34.0,32.65,34.0,33.65,33.31,4420,14724800000.0,,,
2000-07-20,EICHERMOT,EQ,33.65,33.1,33.75,33.0,33.0,33.1,33.09,1600,5295000000.0,,,
2000-07-21,EICHERMOT,EQ,33.1,32.55,35.0,32.4,33.2,33.45,33.63,4695,15789550000.0,,,
2000-07-24,EICHERMOT,EQ,33.45,31.3,32.45,30.8,30.8,30.8,31.18,4812,15003935000.0,,,
