Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,GAIL,EQ,67.8,65.0,70.0,65.0,68.8,68.7,67.91,76055,516516559999.99994,,,
2000-01-04,GAIL,EQ,68.7,69.85,72.9,66.0,67.0,66.35,67.29,98097,660045745000.0,,,
2000-01-05,GAIL,EQ,66.35,68.35,68.7,61.1,63.0,63.2,65.24,92690,604688925000.0,,,
2000-01-06,GAIL,EQ,63.2,64.8,67.0,63.0,64.75,64.95,65.55,173654,1138298685000.0,,,
2000-01-07,GAIL,EQ,64.95,65.9,65.9,62.0,62.9,62.65,63.76,86590,552138810000.0,,,
2000-01-10,GAIL,EQ,62.65,64.95,64.95,62.0,62.7,62.3,62.81,85104,534497865000.00006,,,
2000-01-11,GAIL,EQ,62.3,62.0,62.4,59.0,59.75,59.8,60.79,97101,590270265000.0,,,
2000-01-12,GAIL,EQ,59.8,62.7,62.7,60.25,61.7,61.55,61.25,97974,600092480000.0,,,
2000-01-13,GAIL,EQ,61.55,62.3,62.5,61.25,61.7,61.85,61.88,28151,174196045000.0,,,
2000-01-14,GAIL,EQ,61.85,61.75,62.9,60.05,62.9,62.45,61.34,33125,203184300000.0,,,
2000-01-17,GAIL,EQ,62.45,63.5,64.45,62.0,63.7,63.8,63.79,82245,524667225000.0,,,
2000-01-18,GAIL,EQ,63.8,64.4,67.9,63.55,66.55,66.95,65.33,70485,460505190000.00006,,,
2000-01-19,GAIL,EQ,66.95,70.0,70.0,65.0,66.0,65.8,67.91,119332,810339950000.0,,,
2000-01-20,GAIL,EQ,65.8,65.5,66.45,62.85,63.45,63.4,64.26,47088,302608360000.0,,,
2000-01-21,GAIL,EQ,63.4,62.25,64.0,62.0,62.7,62.25,62.62,57404,359439315000.0,,,
2000-01-24,GAIL,EQ,62.25,63.0,64.25,61.25,62.5,62.15,62.61,53436,334563495000.0,,,
2000-01-25,GAIL,EQ,62.15,61.25,62.45,60.15,61.0,60.55,60.8,81899,497907480000.0,,,
2000-01-27,GAIL,EQ,60.55,62.7,63.0,60.5,60.9,60.8,61.17,38220,233801700000.0,,,
2000-01-28,GAIL,EQ,60.8,61.25,61.25,60.0,60.9,60.85,60.75,17670,107342175000.0,,,
2000-01-31,GAIL,EQ,60.85,60.25,61.0,58.1,58.8,58.5,59.59,24481,145873190000.0,,,
2000-02-01,GAIL,EQ,58.5,59.0,59.8,58.3,58.5,58.6,59.0,34865,205707265000.0,,,
2000-02-02,GAIL,EQ,58.6,60.75,61.95,60.0,61.05,61.05,61.03,31500,192233075000.0,,,
2000-02-03,GAIL,EQ,61.05,60.6,62.45,60.6,61.4,60.95,60.77,179501,1090842325000.0,,,
2000-02-04,GAIL,EQ,60.95,61.5,61.5,59.0,60.0,59.85,59.77,42005,251056175000.0,,,
2000-02-07,GAIL,EQ,59.85,58.0,60.7,58.0,59.0,58.75,59.0,19835,117025325000.0,,,
2000-02-08,GAIL,EQ,58.75,58.45,59.25,56.25,56.25,56.95,57.34,43484,249338550000.0,,,
2000-02-09,GAIL,EQ,56.95,59.45,59.5,57.0,58.75,58.75,58.46,20148,117791875000.0,,,
2000-02-10,GAIL,EQ,58.75,59.8,62.0,59.3,61.6,61.5,60.32,102515,618341355000.0,,,
2000-02-11,GAIL,EQ,61.5,63.1,65.0,60.1,60.1,60.3,61.71,40995,252999750000.0,,,
2000-02-14,GAIL,EQ,60.3,61.0,61.9,57.0,57.9,57.15,58.86,38631,227378415000.0,,,
2000-02-15,GAIL,EQ,57.15,57.0,59.6,56.15,58.0,57.85,57.94,457722,2652201135000.0,,,
2000-02-16,GAIL,EQ,57.85,59.55,61.0,57.6,57.6,58.15,59.09,39696,234561860000.0,,,
2000-02-17,GAIL,EQ,58.15,59.55,62.8,59.55,62.8,62.8,61.87,153868,951921910000.0,,,
2000-02-18,GAIL,EQ,62.8,67.85,67.85,67.85,67.85,67.85,67.85,30848,209303680000.0,,,
2000-02-21,GAIL,EQ,67.85,73.3,73.3,73.3,73.3,73.3,73.3,35708,261739640000.0,,,
2000-02-22,GAIL,EQ,73.3,79.2,79.2,78.75,79.2,79.2,79.19,260024,2059210080000.0,,,
2000-02-23,GAIL,EQ,79.2,85.5,85.5,73.05,83.0,83.7,81.04,658407,5335786135000.0,,,
2000-02-24,GAIL,EQ,83.7,84.0,84.9,77.0,77.0,77.0,79.37,88980,706260265000.0,,,
2000-02-25,GAIL,EQ,77.0,75.05,78.7,70.85,70.85,70.85,71.59,69660,498697959999.99994,,,
2000-02-28,GAIL,EQ,70.85,67.0,70.45,65.2,70.45,69.7,66.2,120546,798020735000.0,,,
2000-02-29,GAIL,EQ,69.7,70.1,74.4,65.0,65.05,65.55,70.19,134205,941934530000.0001,,,
2000-03-01,GAIL,EQ,65.55,65.1,70.0,65.05,68.6,68.2,68.05,35970,244777075000.0,,,
2000-03-02,GAIL,EQ,68.2,70.5,71.5,63.0,64.0,63.65,66.55,47455,315794800000.0,,,
2000-03-03,GAIL,EQ,63.65,62.5,64.0,59.75,60.95,60.6,60.62,36210,219510675000.0,,,
2000-03-06,GAIL,EQ,60.6,59.55,61.5,57.55,59.6,60.0,59.83,37080,221865465000.0,,,
2000-03-07,GAIL,EQ,60.0,56.55,59.0,56.3,57.0,57.2,58.26,105815,616426880000.0,,,
2000-03-08,GAIL,EQ,57.2,60.9,61.8,56.5,61.8,61.4,60.98,78465,478479900000.0,,,
2000-03-09,GAIL,EQ,61.4,64.4,65.9,59.0,65.15,65.35,62.79,44237,277776840000.0,,,
2000-03-10,GAIL,EQ,65.35,62.0,67.9,62.0,65.9,65.35,65.51,70990,465045125000.0,,,
2000-03-13,GAIL,EQ,65.35,64.9,65.7,62.75,64.0,64.75,63.68,51160,325764840000.0,,,
2000-03-14,GAIL,EQ,64.75,62.2,67.8,62.0,65.0,64.95,64.75,151438,980537780000.0001,,,
2000-03-15,GAIL,EQ,64.95,65.0,66.0,63.1,63.95,64.8,64.83,37636,244000500000.0,,,
2000-03-16,GAIL,EQ,64.8,63.1,66.0,63.0,64.7,64.95,64.08,49930,319936025000.0,,,
2000-03-21,GAIL,EQ,64.95,63.1,64.3,59.95,60.0,60.05,62.76,78537,492918130000.0,,,
2001-07-02,GAIL,EQ,65.0,65.1,68.0,64.0,64.9,64.4,66.17,3480,23027075000.0,,,
2001-07-03,GAIL,EQ,64.4,67.45,67.45,63.1,64.35,64.4,64.25,2350,15097740000.0,,,
2001-07-04,GAIL,EQ,64.4,64.4,65.5,64.0,65.5,65.05,64.62,3755,24264080000.0,,,
2001-07-05,GAIL,EQ,65.05,64.55,65.1,64.05,65.0,65.0,64.84,8190,53101460000.0,,,
2001-07-06,GAIL,EQ,65.0,64.6,65.0,64.25,64.9,65.0,64.63,18870,121952025000.0,,,
2001-07-09,GAIL,EQ,65.0,63.75,65.25,62.0,65.0,65.0,64.65,20910,135180150000.0,,,
2001-07-10,GAIL,EQ,65.0,64.45,65.25,64.45,65.0,64.9,64.93,9589,62257280000.00001,,,
2001-07-11,GAIL,EQ,64.9,65.6,65.7,64.1,65.0,65.15,64.92,11845,76903280000.0,,,
2001-07-12,GAIL,EQ,65.15,65.65,65.7,64.5,65.1,65.1,65.32,5120,33446325000.0,,,
2001-07-13,GAIL,EQ,65.1,64.5,65.25,64.25,64.25,64.5,64.64,9515,61506400000.0,,,
2001-07-16,GAIL,EQ,64.5,64.5,66.0,64.25,64.5,64.75,64.81,10410,67465750000.0,,,
2001-07-17,GAIL,EQ,64.75,65.25,66.0,64.15,64.15,64.15,64.89,28977,188038575000.0,,,
2001-07-18,GAIL,EQ,64.15,64.25,65.75,64.25,65.0,64.85,65.12,19055,124080425000.0,,,
2001-07-19,GAIL,EQ,64.85,64.5,65.0,63.5,63.5,63.5,64.1,21655,138805605000.0,,,
2001-07-20,GAIL,EQ,63.5,63.8,64.0,63.0,64.0,63.0,63.26,62751,396982300000.0,,,
2001-07-23,GAIL,EQ,63.0,62.5,62.5,62.0,62.0,62.0,62.02,50,310100000.0,,,
2001-07-24,GAIL,EQ,62.0,63.15,63.15,61.75,62.0,62.2,62.51,9700,60637985000.0,,,
2001-07-25,GAIL,EQ,62.2,60.75,61.45,58.3,59.7,59.1,59.91,17316,103743250000.0,,,
2001-07-26,GAIL,EQ,59.1,59.0,59.0,57.15,58.75,58.35,58.59,6694,39221135000.0,,,
2001-07-27,GAIL,EQ,58.35,58.0,59.0,56.0,59.0,59.0,58.44,14627,85487425000.0,,,
2001-07-30,GAIL,EQ,59.0,58.8,59.5,58.1,59.05,59.05,58.87,4650,27375305000.0,,,
2001-07-31,GAIL,EQ,59.05,59.55,60.0,59.0,60.0,60.0,59.61,1886,11242340000.0,,,
2001-08-01,GAIL,EQ,60.0,59.85,60.0,58.75,59.5,59.55,59.85,16810,100609050000.0,,,
2001-08-02,GAIL,EQ,59.55,59.95,60.65,59.3,60.0,59.95,59.8,6048,36166755000.0,,,
2001-08-03,GAIL,EQ,59.95,59.25,60.0,59.0,60.0,59.8,59.91,13829,82853470000.0,,,
2001-08-06,GAIL,EQ,59.8,59.9,60.0,59.4,59.9,59.9,59.94,16155,96827950000.0,,,
