Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,GRASIM,EQ,405.8,429.9,438.3,425.0,438.3,438.3,432.24,101578,4390621335000.0,,,
2000-01-04,GRASIM,EQ,438.3,437.5,440.0,420.05,439.5,437.15,428.27,126117,5401215770000.0,,,
2000-01-05,GRASIM,EQ,437.15,420.1,447.9,412.0,430.0,439.6,436.1,163877,7146660280000.0,,,
2000-01-06,GRASIM,EQ,439.6,449.9,474.8,449.9,474.8,474.8,474.68,44248,2100383930000.0,,,
2000-01-07,GRASIM,EQ,474.8,472.0,512.8,472.0,512.8,512.8,512.61,188564,9666049480000.0,,,
2000-01-10,GRASIM,EQ,512.8,553.8,553.85,475.0,510.0,501.95,505.41,368433,18620874390000.0,,,
2000-01-11,GRASIM,EQ,501.95,497.0,497.0,462.0,462.0,474.3,479.9,196177,9414471210000.0,,,
2000-01-12,GRASIM,EQ,474.3,465.0,472.0,437.0,461.9,458.45,456.26,68421,3121776245000.0,,,
2000-01-13,GRASIM,EQ,458.45,460.0,475.0,442.0,456.0,452.35,460.77,103720,4779057820000.0,,,
2000-01-14,GRASIM,EQ,452.35,460.0,460.0,416.2,433.0,434.95,432.61,93774,4056795720000.0005,,,
2000-01-17,GRASIM,EQ,434.95,434.0,453.5,434.0,451.0,450.9,446.62,122901,5488999945000.0,,,
2000-01-18,GRASIM,EQ,450.9,451.0,457.2,426.0,429.9,431.3,441.85,85911,3795945700000.0,,,
2000-01-19,GRASIM,EQ,431.3,445.0,450.0,410.0,425.0,418.95,425.13,309006,13136714100000.0,,,
2000-01-20,GRASIM,EQ,418.95,428.0,435.0,422.0,426.2,425.55,427.94,215838,9236465320000.0,,,
2000-01-21,GRASIM,EQ,425.55,425.0,425.0,405.5,412.0,409.45,413.75,107477,4446891800000.0,,,
2000-01-24,GRASIM,EQ,409.45,412.0,422.9,412.0,415.4,415.15,417.02,118612,4946330235000.0,,,
2000-01-25,GRASIM,EQ,415.15,405.0,416.0,381.95,390.0,389.7,391.31,225256,8814450490000.0,,,
2000-01-27,GRASIM,EQ,389.7,396.9,414.8,388.0,390.0,397.65,402.93,333149,13423567325000.0,,,
2000-01-28,GRASIM,EQ,397.65,400.0,410.0,383.0,384.0,385.4,393.77,388709,15306287625000.0,,,
2000-01-31,GRASIM,EQ,385.4,388.0,390.0,370.0,379.05,384.5,380.29,286867,10909360645000.0,,,
2000-02-01,GRASIM,EQ,384.5,381.0,381.0,365.0,366.15,365.75,371.49,349769,12993668005000.0,,,
2000-02-02,GRASIM,EQ,365.75,377.0,379.85,366.5,369.75,369.1,373.88,258977,9682564620000.0,,,
2000-02-03,GRASIM,EQ,369.1,379.0,379.0,369.0,373.5,375.55,375.56,127513,4788839760000.0,,,
2000-02-04,GRASIM,EQ,375.55,380.0,380.0,371.95,373.5,373.55,375.81,95007,3570449154999.9995,,,
2000-02-07,GRASIM,EQ,373.55,377.0,377.0,366.5,375.2,373.3,371.67,149597,5560066650000.0,,,
2000-02-08,GRASIM,EQ,373.3,378.0,403.2,373.0,403.2,401.95,398.78,348592,13901113950000.0,,,
2000-02-09,GRASIM,EQ,401.95,424.85,434.1,404.0,408.95,407.4,420.93,372455,15677615469999.998,,,
2000-02-10,GRASIM,EQ,407.4,404.0,415.0,397.0,399.0,401.1,406.36,184831,7510773070000.0,,,
2000-02-11,GRASIM,EQ,401.1,395.0,400.5,375.0,389.8,386.05,388.57,232143,9020319460000.0,,,
2000-02-14,GRASIM,EQ,386.05,390.0,398.0,363.6,370.0,368.8,371.42,147635,5483481200000.0,,,
2000-02-15,GRASIM,EQ,368.8,360.15,367.9,346.2,359.0,355.7,356.87,273607,9764337425000.0,,,
2000-02-16,GRASIM,EQ,355.7,365.0,370.0,360.0,363.5,365.5,365.46,114052,4168152995000.0005,,,
2000-02-17,GRASIM,EQ,365.5,362.0,368.8,352.0,355.0,357.4,360.3,81326,2930171110000.0,,,
2000-02-18,GRASIM,EQ,357.4,353.0,363.7,329.0,345.0,345.7,346.89,339324,11770909785000.0,,,
2000-02-21,GRASIM,EQ,345.7,339.0,345.0,318.05,318.05,318.05,319.66,93799,2998398735000.0,,,
2000-02-22,GRASIM,EQ,318.05,308.05,311.9,292.65,292.65,292.75,294.43,305087,8982706505000.0,,,
2000-02-23,GRASIM,EQ,292.75,302.95,302.95,281.0,286.0,285.1,290.35,292520,8493380625000.0,,,
2000-02-24,GRASIM,EQ,285.1,289.9,293.0,278.05,280.0,284.05,287.13,202515,5814835145000.0,,,
2000-02-25,GRASIM,EQ,284.05,284.9,306.8,284.0,306.8,304.35,303.3,300500,9114146340000.0,,,
2000-02-28,GRASIM,EQ,304.35,312.0,328.7,312.0,328.7,328.7,322.41,104770,3377938290000.0,,,
2000-02-29,GRASIM,EQ,328.7,340.0,355.0,309.0,309.0,323.8,347.26,518129,17992505300000.0,,,
2000-03-01,GRASIM,EQ,323.8,317.0,330.0,305.0,323.15,321.5,321.32,65207,2095248005000.0,,,
2000-03-02,GRASIM,EQ,321.5,330.0,347.25,330.0,347.25,347.25,345.37,176853,6107975985000.0,,,
2000-03-03,GRASIM,EQ,347.25,349.0,375.05,339.0,375.05,371.2,364.03,289597,10542317750000.0,,,
2000-03-06,GRASIM,EQ,371.2,375.1,385.0,360.1,371.0,370.45,371.31,150851,5601195995000.0,,,
2000-03-07,GRASIM,EQ,370.45,372.0,375.0,340.85,340.85,341.15,344.7,81572,2811791700000.0,,,
2000-03-08,GRASIM,EQ,341.15,348.0,368.45,342.05,367.75,364.9,354.79,66976,2376243715000.0,,,
2000-03-09,GRASIM,EQ,364.9,371.25,380.0,350.0,371.0,371.1,363.36,116584,4236242990000.0,,,
