Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-11,HCLTECH,EQ,580.0,1550.0,1725.0,1492.0,1560.0,1554.45,1582.72,1192200,188691461000000.0,,,
2000-01-12,HCLTECH,EQ,1554.45,1560.0,1678.85,1560.0,1678.85,1678.85,1657.05,344850,57143494500000.0,,,
2000-01-13,HCLTECH,EQ,1678.85,1790.0,1813.2,1781.0,1813.2,1813.2,1804.69,53000,9564879750000.0,,,
2000-01-14,HCLTECH,EQ,1813.2,1958.3,1958.3,1835.0,1958.3,1958.3,1939.9,270950,52561693250000.0,,,
2000-01-17,HCLTECH,EQ,1958.3,2115.0,2115.0,1801.65,1801.65,1801.65,1990.55,428800,85354733750000.0,,,
2000-01-18,HCLTECH,EQ,1801.65,1730.55,1815.0,1657.55,1775.0,1774.5,1716.39,359900,61772802000000.0,,,
2000-01-19,HCLTECH,EQ,1774.5,1815.0,1889.0,1760.0,1842.8,1851.15,1842.81,316050,58242040000000.0,,,
2000-01-20,HCLTECH,EQ,1851.15,1865.0,1865.0,1750.0,1753.5,1757.85,1801.37,204700,36874092500000.0,,,
2000-01-21,HCLTECH,EQ,1757.85,1761.0,1815.0,1705.0,1786.0,1781.35,1774.01,282150,50053604000000.0,,,
2000-01-24,HCLTECH,EQ,1781.35,1834.9,1923.9,1795.0,1923.9,1923.9,1875.34,328650,61633171750000.0,,,
2000-01-25,HCLTECH,EQ,1923.9,1990.0,2077.85,1990.0,2077.85,2077.85,2065.71,313500,64760104000000.0,,,
2000-01-27,HCLTECH,EQ,2077.85,2239.9,2239.9,1965.0,2078.0,2080.6,2101.92,352400,74071500250000.0,,,
2000-01-28,HCLTECH,EQ,2080.6,2100.0,2245.0,2020.2,2190.0,2196.95,2173.0,360800,78401974500000.0,,,
2000-01-31,HCLTECH,EQ,2196.95,2111.0,2200.0,2021.2,2021.2,2030.4,2083.45,217650,45346200500000.0,,,
2000-02-01,HCLTECH,EQ,2030.4,1981.2,2180.0,1981.2,2160.0,2162.25,2110.66,261000,55088342750000.0,,,
2000-02-02,HCLTECH,EQ,2162.25,2260.0,2260.0,2010.0,2035.0,2024.25,2085.91,326550,68115423250000.0,,,
2000-02-03,HCLTECH,EQ,2024.25,2075.0,2075.0,1915.2,1965.0,1956.5,1989.66,175800,34978205500000.0,,,
2000-02-04,HCLTECH,EQ,1956.5,1993.0,2064.0,1965.0,1977.0,1986.6,2008.25,176500,35445597500000.0,,,
2000-02-07,HCLTECH,EQ,1986.6,1985.0,2119.95,1960.05,2036.0,2062.95,2048.51,277850,56917908000000.0,,,
2000-02-08,HCLTECH,EQ,2062.95,2049.4,2060.0,1970.0,2014.0,1999.2,2017.09,199100,40160266750000.0,,,
2000-02-09,HCLTECH,EQ,1999.2,2100.0,2100.0,1975.0,1991.0,1999.0,2011.5,180500,36307632250000.0,,,
2000-02-10,HCLTECH,EQ,1999.0,1976.65,2014.8,1965.0,1990.0,1996.75,1992.36,76850,15311321250000.0,,,
2000-02-11,HCLTECH,EQ,1996.75,1998.0,2156.5,1992.0,2156.5,2156.5,2110.61,166150,35067806500000.0,,,
2000-02-14,HCLTECH,EQ,2156.5,2199.0,2329.05,2199.0,2329.05,2324.7,2293.27,265150,60806179250000.0,,,
2000-02-15,HCLTECH,EQ,2324.7,2350.0,2510.7,2210.0,2500.0,2508.4,2425.21,224500,54445856750000.0,,,
2000-02-16,HCLTECH,EQ,2508.4,2560.0,2560.0,2307.75,2418.0,2423.1,2411.48,260850,62903434500000.0,,,
2000-02-17,HCLTECH,EQ,2423.1,2445.0,2616.95,2380.0,2616.95,2614.7,2526.71,276550,69876089000000.0,,,
2000-02-18,HCLTECH,EQ,2614.7,2800.0,2823.9,2760.5,2771.0,2775.95,2807.4,173400,48680317250000.0,,,
2000-02-21,HCLTECH,EQ,2775.95,2823.0,2998.0,2725.0,2805.0,2819.15,2883.95,151800,43778295000000.0,,,
2000-02-22,HCLTECH,EQ,2819.15,2800.0,2875.0,2652.0,2710.0,2700.3,2772.79,88250,24469840000000.0,,,
2000-02-23,HCLTECH,EQ,2700.3,2825.0,2870.0,2484.3,2499.0,2548.8,2696.63,71250,19213496000000.0,,,
2000-02-24,HCLTECH,EQ,2548.8,2570.0,2650.0,2445.0,2455.0,2464.1,2539.89,67350,17106143250000.0,,,
2000-02-25,HCLTECH,EQ,2464.1,2498.0,2540.0,2280.0,2325.0,2317.3,2395.84,72050,17262041500000.0,,,
2000-02-28,HCLTECH,EQ,2317.3,2200.0,2300.0,2132.0,2261.0,2262.75,2201.3,67550,14869762000000.0,,,
2000-02-29,HCLTECH,EQ,2262.75,2325.0,2350.0,2081.75,2081.75,2081.75,2206.52,85100,18777450750000.0,,,
2000-03-01,HCLTECH,EQ,2081.75,2000.0,2248.3,1915.25,2248.3,2248.3,2099.09,217400,45634216000000.0,,,
2000-03-02,HCLTECH,EQ,2248.3,2399.0,2428.2,2350.0,2428.2,2428.2,2416.21,73000,17638339250000.0,,,
2000-03-03,HCLTECH,EQ,2428.2,2618.9,2622.5,2350.0,2402.0,2443.6,2458.27,144050,35411396250000.0,,,
2000-03-06,HCLTECH,EQ,2443.6,2500.0,2500.0,2248.15,2262.0,2249.75,2328.13,50200,11687192750000.0,,,
2000-03-07,HCLTECH,EQ,2249.75,2225.0,2269.0,2069.8,2069.8,2069.8,2093.46,74050,15502060750000.0,,,
2000-03-08,HCLTECH,EQ,2069.8,2000.0,2150.0,1940.0,1960.0,1975.4,2005.46,123150,24697236500000.0,,,
2000-03-09,HCLTECH,EQ,1975.4,1952.0,2085.0,1817.4,1870.0,1911.55,1932.58,141050,27258991250000.0,,,
2000-03-10,HCLTECH,EQ,1911.55,1902.0,1949.9,1770.0,1818.0,1798.9,1851.73,70000,12962078750000.0,,,
2000-03-13,HCLTECH,EQ,1798.9,1839.0,1915.0,1655.0,1655.0,1655.0,1713.7,95250,16323005000000.0,,,
2000-03-14,HCLTECH,EQ,1655.0,1650.0,1725.0,1522.6,1700.0,1667.75,1579.57,122700,19381270250000.0,,,
2000-03-15,HCLTECH,EQ,1667.75,1750.0,1801.2,1578.05,1801.2,1801.2,1680.67,38000,6386562750000.0,,,
2000-03-16,HCLTECH,EQ,1801.2,1945.0,1945.3,1945.0,1945.3,1945.3,1945.29,7750,1507601500000.0,,,
2000-03-21,HCLTECH,EQ,1945.3,2089.0,2100.95,2000.0,2100.95,2100.95,2075.22,67200,13945504250000.0,,,
2000-03-22,HCLTECH,EQ,2100.95,2269.05,2269.05,2269.05,2269.05,2269.05,2269.05,6900,1565644500000.0,,,
2000-03-23,HCLTECH,EQ,2269.05,2399.0,2450.0,2090.0,2180.0,2148.35,2197.71,74050,16274052250000.0,,,
2000-03-24,HCLTECH,EQ,2148.35,2055.0,2185.0,2031.0,2130.0,2123.35,2119.4,113100,23970359000000.0,,,
2000-03-27,HCLTECH,EQ,2123.35,2140.0,2205.0,1995.0,2110.0,2102.6,2083.92,87200,18171756500000.0,,,
2000-03-28,HCLTECH,EQ,2102.6,2082.0,2092.0,2000.0,2000.0,2004.5,2005.77,52250,10480134500000.0,,,
2000-03-29,HCLTECH,EQ,2004.5,2050.0,2098.0,2000.0,2022.0,2023.15,2026.34,79100,16028386250000.0,,,
2000-03-30,HCLTECH,EQ,2023.15,1950.0,1970.0,1861.3,1870.0,1865.15,1892.74,41750,7902204500000.0,,,
2000-03-31,HCLTECH,EQ,1865.15,1802.0,1803.0,1715.95,1733.5,1722.05,1720.56,88200,15175315250000.0,,,
2000-04-03,HCLTECH,EQ,1722.05,1799.0,1800.0,1584.3,1584.3,1584.3,1613.81,74100,11958354000000.0,,,
2000-04-04,HCLTECH,EQ,1584.3,1457.6,1457.6,1457.6,1457.6,1457.6,1457.6,17000,2477920000000.0,,,
2000-04-05,HCLTECH,EQ,1457.6,1341.0,1544.0,1341.0,1477.0,1495.15,1422.25,119800,17038609000000.0,,,
2000-04-06,HCLTECH,EQ,1495.15,1545.0,1614.8,1400.0,1614.8,1598.5,1483.37,105800,15694054000000.0,,,
2000-04-07,HCLTECH,EQ,1598.5,1698.0,1726.4,1698.0,1726.4,1726.4,1726.33,19300,3331810000000.0,,,
2000-04-10,HCLTECH,EQ,1726.4,1855.0,1864.55,1855.0,1864.55,1864.55,1864.51,22900,4269724000000.0,,,
2000-04-11,HCLTECH,EQ,1864.55,1864.55,2013.75,1720.0,1927.0,1893.8,1875.19,227450,42651263000000.0,,,
2000-04-12,HCLTECH,EQ,1893.8,1874.0,1944.0,1742.3,1742.3,1755.4,1886.69,90000,16980210000000.0,,,
2000-04-13,HCLTECH,EQ,1755.4,1617.2,1669.0,1615.0,1615.0,1615.0,1625.12,49150,7987457500000.0,,,
2000-04-17,HCLTECH,EQ,1615.0,1485.8,1485.8,1485.8,1485.8,1485.8,1485.8,850,126293000000.0,,,
2000-04-18,HCLTECH,EQ,1485.8,1485.8,1550.0,1366.95,1385.0,1377.55,1393.52,169850,23669013000000.0,,,
2000-04-19,HCLTECH,EQ,1377.55,1449.0,1485.0,1267.35,1267.35,1267.95,1350.39,119350,16116933750000.0,,,
