Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,HEROHONDA,EQ,1145.2,1200.0,1236.8,1171.0,1209.95,1207.6,1209.11,10631,1285400800000.0,,,
2000-01-04,HEROHONDA,EQ,1207.6,1200.0,1220.0,1176.0,1200.0,1199.85,1200.93,19849,2383719075000.0,,,
2000-01-05,HEROHONDA,EQ,1199.85,1155.0,1178.0,1140.0,1140.0,1143.8,1159.74,2525,292835460000.0,,,
2000-01-06,HEROHONDA,EQ,1143.8,1183.0,1189.95,1150.25,1165.0,1161.4,1167.29,4375,510688695000.0,,,
2000-01-07,HEROHONDA,EQ,1161.4,1140.0,1140.0,1069.0,1105.0,1106.55,1103.52,9093,1003429065000.0,,,
2000-01-10,HEROHONDA,EQ,1106.55,1105.05,1135.0,1100.0,1115.1,1126.35,1123.41,11113,1248446415000.0,,,
2000-01-11,HEROHONDA,EQ,1126.35,1100.0,1135.0,1095.0,1130.0,1125.1,1106.96,11333,1254517810000.0,,,
2000-01-12,HEROHONDA,EQ,1125.1,1176.0,1198.0,1150.0,1180.0,1174.95,1174.81,4353,511395234999.99994,,,
2000-01-13,HEROHONDA,EQ,1174.95,1198.0,1198.0,1140.0,1140.0,1146.4,1172.03,7221,846320885000.0,,,
2000-01-14,HEROHONDA,EQ,1146.4,1194.0,1198.0,1157.5,1190.0,1190.3,1182.32,12898,1524953345000.0,,,
2000-01-17,HEROHONDA,EQ,1190.3,1216.0,1285.55,1216.0,1285.55,1285.55,1281.19,44550,5707684640000.0,,,
2000-01-18,HEROHONDA,EQ,1285.55,1339.0,1365.0,1270.0,1300.0,1294.65,1295.57,17246,2234342795000.0,,,
2000-01-19,HEROHONDA,EQ,1294.65,1300.0,1324.9,1270.0,1274.5,1272.55,1281.66,23057,2955119750000.0,,,
2000-01-20,HEROHONDA,EQ,1272.55,1275.0,1275.0,1236.3,1245.0,1252.9,1250.91,3987,498736420000.0,,,
2000-01-21,HEROHONDA,EQ,1252.9,1240.0,1255.5,1235.0,1249.0,1242.55,1242.11,3125,388158500000.0,,,
2000-01-24,HEROHONDA,EQ,1242.55,1201.0,1260.25,1201.0,1206.7,1212.1,1218.43,2624,319715105000.0,,,
