Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,ICICIBANK,EQ,69.2,74.35,74.75,71.4,74.75,74.75,73.2,286260,2095439039999.9998,,,
2000-01-04,ICICIBANK,EQ,74.75,73.05,78.5,71.0,73.25,73.05,73.38,296264,2173892789999.9998,,,
2000-01-05,ICICIBANK,EQ,73.05,70.0,73.5,67.5,70.0,69.5,70.85,227624,1612793995000.0,,,
2000-01-06,ICICIBANK,EQ,69.5,71.0,74.0,69.55,69.75,70.05,72.04,275149,1982120639999.9998,,,
2000-01-07,ICICIBANK,EQ,70.05,69.0,72.5,66.0,67.0,67.4,68.72,138809,953888205000.0001,,,
2000-01-10,ICICIBANK,EQ,67.4,67.0,71.0,67.0,70.0,69.9,69.78,249656,1742092355000.0,,,
2000-01-11,ICICIBANK,EQ,69.9,69.15,70.45,66.1,69.0,69.35,68.89,307601,2119124005000.0,,,
2000-01-12,ICICIBANK,EQ,69.35,69.0,74.9,69.0,74.9,74.9,74.35,88395,657222050000.0,,,
2000-01-13,ICICIBANK,EQ,74.9,80.0,80.9,78.0,79.0,79.35,80.43,494679,3978944790000.0,,,
2000-01-14,ICICIBANK,EQ,79.35,78.0,80.8,75.0,80.05,79.0,78.15,703072,5494427335000.0,,,
2000-01-17,ICICIBANK,EQ,79.0,81.8,85.35,81.8,85.35,85.35,85.32,242095,2065495150000.0,,,
2000-01-18,ICICIBANK,EQ,85.35,88.1,88.1,82.0,85.05,84.8,84.69,332383,2814933405000.0,,,
2000-01-19,ICICIBANK,EQ,84.8,88.7,91.6,87.0,91.6,91.6,91.29,319504,2916815725000.0,,,
2000-01-20,ICICIBANK,EQ,91.6,98.9,98.95,95.0,96.15,96.35,97.19,562692,5468978260000.0,,,
2000-01-21,ICICIBANK,EQ,96.35,103.75,103.75,90.65,100.0,99.35,97.3,497788,4843340300000.0,,,
2000-01-24,ICICIBANK,EQ,99.35,101.0,107.3,101.0,107.3,107.3,106.59,238959,2547067525000.0,,,
2000-01-25,ICICIBANK,EQ,107.3,112.0,115.9,105.9,115.9,115.9,114.25,377898,4317394635000.0,,,
2000-01-27,ICICIBANK,EQ,115.9,125.2,125.2,125.15,125.2,125.2,125.2,55421,693853420000.0,,,
2000-01-28,ICICIBANK,EQ,125.2,130.0,135.25,125.2,135.25,135.25,133.89,140552,1881805255000.0,,,
