Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,INFOSYSTCH,EQ,14467.75,15625.0,15625.2,15625.0,15625.2,15625.2,15625.18,5137,8026657140000.001,,,
2000-01-04,INFOSYSTCH,EQ,15625.2,16800.0,16875.25,16253.0,16875.25,16855.9,16646.38,56186,93529374750000.0,,,
2000-01-05,INFOSYSTCH,EQ,16855.9,15701.0,16250.0,15507.45,15507.45,15507.45,15786.38,164605,259851640715000.0,,,
2000-01-06,INFOSYSTCH,EQ,15507.45,15256.65,15300.0,14266.85,14266.85,14266.85,14462.82,81997,118590794075000.0,,,
2000-01-07,INFOSYSTCH,EQ,14266.85,13125.5,13125.5,13125.5,13125.5,13125.5,13125.5,7589,9960941950000.0,,,
2000-01-10,INFOSYSTCH,EQ,13125.5,13125.5,14175.5,12075.5,13750.0,13757.3,13270.6,236175,313418481875000.0,,,
2000-01-11,INFOSYSTCH,EQ,13757.3,13200.0,13800.0,12656.75,12656.75,12656.75,12885.28,122331,157626976990000.0,,,
2000-01-12,INFOSYSTCH,EQ,12656.75,11950.0,13349.0,11766.0,13010.0,13077.55,12873.99,203074,261437329065000.0,,,
2000-01-13,INFOSYSTCH,EQ,13077.55,13100.0,13149.0,12031.35,12033.0,12090.6,12529.38,156550,196147474930000.0,,,
2000-01-14,INFOSYSTCH,EQ,12090.6,12249.0,12297.0,11203.0,12170.0,12176.4,11896.77,125313,149081962870000.0,,,
2000-01-17,INFOSYSTCH,EQ,12176.4,12200.0,12885.0,11720.0,11773.0,11870.9,12210.99,141351,172603581345000.0,,,
2000-01-18,INFOSYSTCH,EQ,11870.9,11739.7,12169.0,11325.0,11930.0,11935.65,11818.44,158523,187349462225000.0,,,
2000-01-19,INFOSYSTCH,EQ,11935.65,12546.0,12890.5,12420.0,12890.5,12889.85,12765.4,156209,199407049190000.0,,,
2000-01-20,INFOSYSTCH,EQ,12889.85,13200.0,13551.0,12611.0,12739.0,12747.05,13196.1,154520,203906101610000.0,,,
2000-01-21,INFOSYSTCH,EQ,12747.05,12900.0,13590.0,12503.0,13550.0,13420.2,13122.91,162391,213104283050000.0,,,
2000-01-24,INFOSYSTCH,EQ,13420.2,13600.0,14489.0,13600.0,13840.1,13878.8,14027.99,197315,276793342375000.0,,,
2000-01-25,INFOSYSTCH,EQ,13878.8,13800.0,14250.0,13400.05,14190.0,14109.4,13923.52,159919,222663487530000.03,,,
2000-01-27,INFOSYSTCH,EQ,14109.4,7570.0,7600.0,7293.0,7405.0,7390.75,7464.8,202403,151089871040000.0,,,
2000-01-28,INFOSYSTCH,EQ,7390.75,7426.0,7699.0,7426.0,7625.0,7611.55,7592.45,270024,205014462325000.0,,,
2000-01-31,INFOSYSTCH,EQ,7611.55,7535.5,7544.0,7127.0,7218.0,7221.7,7396.24,118723,87810438415000.0,,,
2000-02-01,INFOSYSTCH,EQ,7221.7,7250.0,7450.0,7150.0,7440.0,7417.4,7345.05,110241,80972541695000.0,,,
2000-02-02,INFOSYSTCH,EQ,7417.4,7590.0,7700.0,7349.5,7370.0,7365.8,7447.18,148305,110445401580000.0,,,
2000-02-03,INFOSYSTCH,EQ,7365.8,7416.0,7510.0,7370.0,7465.0,7440.8,7437.0,94251,70094466929999.99,,,
2000-02-04,INFOSYSTCH,EQ,7440.8,7475.0,7950.0,7475.0,7860.25,7896.95,7800.28,315261,245912534710000.0,,,
2000-02-07,INFOSYSTCH,EQ,7896.95,7899.0,8528.75,7899.0,8480.0,8496.2,8327.43,265447,221049041065000.0,,,
2000-02-08,INFOSYSTCH,EQ,8496.2,8495.0,9150.0,8495.0,8920.0,8898.2,8952.29,232856,208459355935000.0,,,
2000-02-09,INFOSYSTCH,EQ,8898.2,9399.0,9399.0,8600.0,8660.0,8709.75,8890.93,165555,147193837375000.0,,,
2000-02-10,INFOSYSTCH,EQ,8709.75,8799.0,9275.0,8799.0,9180.0,9209.0,9052.1,293402,265590367944999.97,,,
2000-02-11,INFOSYSTCH,EQ,9209.0,9269.0,9945.75,9269.0,9945.75,9945.75,9935.78,32816,32605252985000.004,,,
2000-02-14,INFOSYSTCH,EQ,9945.75,10741.45,10741.45,10741.45,10741.45,10741.45,10741.45,23733,25492683285000.0,,,
2000-02-15,INFOSYSTCH,EQ,10741.45,10741.45,10741.45,9882.15,9882.15,9961.75,10041.95,333437,334835701435000.0,,,
2000-02-16,INFOSYSTCH,EQ,9961.75,10050.0,10300.0,9635.0,9900.0,10037.85,10027.3,198757,199299508340000.0,,,
2000-02-17,INFOSYSTCH,EQ,10037.85,10000.0,10800.0,10000.0,10298.0,10298.3,10436.85,189457,197733359545000.0,,,
2000-02-18,INFOSYSTCH,EQ,10298.3,10419.0,10500.0,9775.0,9920.0,9864.6,10075.31,166067,167317595280000.0,,,
2000-02-21,INFOSYSTCH,EQ,9864.6,9850.0,10500.0,9701.0,10220.0,10254.75,10239.38,277368,284007652470000.0,,,
2000-02-22,INFOSYSTCH,EQ,10254.75,10339.0,10339.0,9750.0,9789.0,9830.1,9940.6,188540,187420019975000.0,,,
2000-02-23,INFOSYSTCH,EQ,9830.1,10500.0,10500.0,9043.7,9300.0,9214.95,9664.47,186634,180371783250000.0,,,
2000-02-24,INFOSYSTCH,EQ,9214.95,9390.0,9649.0,8988.0,9400.0,9297.0,9327.21,129070,120386296955000.0,,,
2000-02-25,INFOSYSTCH,EQ,9297.0,9400.0,9489.85,8850.0,8985.0,8987.2,9206.52,77029,70916888740000.0,,,
2000-02-28,INFOSYSTCH,EQ,8987.2,8900.0,8900.0,8268.25,8555.0,8509.7,8417.28,119006,100170660935000.0,,,
2000-02-29,INFOSYSTCH,EQ,8509.7,8600.0,9190.5,8350.0,8700.0,8779.4,8933.35,250497,223777840335000.0,,,
2000-03-01,INFOSYSTCH,EQ,8779.4,9099.0,9481.75,9000.0,9481.75,9481.75,9372.07,98216,92048696335000.0,,,
2000-03-02,INFOSYSTCH,EQ,9481.75,10134.75,10240.3,9932.1,10240.3,10240.3,10226.19,25110,25677971640000.0,,,
2000-03-03,INFOSYSTCH,EQ,10240.3,11059.55,11059.55,11059.55,11059.55,11059.55,11059.55,26691,29519044905000.0,,,
2000-03-06,INFOSYSTCH,EQ,11059.55,11939.65,11944.35,10560.0,11944.35,11944.35,11920.08,21653,25810558400000.0,,,
2000-03-07,INFOSYSTCH,EQ,11944.35,12800.0,12899.9,12800.0,12899.9,12899.9,12899.72,54333,70088027670000.01,,,
2000-03-08,INFOSYSTCH,EQ,12899.9,13450.0,13931.9,11985.0,12400.0,12315.05,13334.7,350512,467397300770000.0,,,
2000-03-09,INFOSYSTCH,EQ,12315.05,12690.0,13000.0,11630.0,11725.0,11858.55,12101.56,130230,157598563505000.0,,,
2000-03-10,INFOSYSTCH,EQ,11858.55,12099.0,12745.0,11426.55,11699.0,11664.8,12123.96,160307,194355638500000.0,,,
2000-03-13,INFOSYSTCH,EQ,11664.8,11700.0,12199.0,10731.65,10731.65,10731.65,11177.74,117401,131227837005000.0,,,
2000-03-14,INFOSYSTCH,EQ,10731.65,10210.0,10210.0,9873.15,9873.15,9873.15,9892.97,131103,129699790390000.02,,,
2000-03-15,INFOSYSTCH,EQ,9873.15,9131.0,10250.0,9083.3,9800.0,9966.95,9392.3,254096,238654597875000.0,,,
2000-03-16,INFOSYSTCH,EQ,9966.95,9600.0,9600.0,9169.6,9169.6,9169.6,9291.7,89462,83125425220000.0,,,
2000-03-21,INFOSYSTCH,EQ,9169.6,9195.0,9903.2,8511.0,9903.2,9903.2,9732.01,228646,222518511640000.0,,,
2000-03-22,INFOSYSTCH,EQ,9903.2,9700.0,10695.5,9500.0,10695.5,10694.3,10526.01,149696,157570194405000.0,,,
2000-03-23,INFOSYSTCH,EQ,10694.3,10960.0,11540.0,10150.0,10210.0,10264.05,10702.85,222929,238597635325000.0,,,
2000-03-24,INFOSYSTCH,EQ,10264.05,10110.0,11080.0,10110.0,10731.0,10823.45,10777.58,191471,206359454635000.0,,,
2000-03-27,INFOSYSTCH,EQ,10823.45,10500.0,10999.0,10300.0,10358.85,10367.35,10543.87,126203,133066778770000.0,,,
2000-03-28,INFOSYSTCH,EQ,10367.35,10101.0,10200.0,9661.15,10048.0,9947.6,9893.31,139382,137894940070000.0,,,
2000-03-29,INFOSYSTCH,EQ,9947.6,10200.0,10680.0,10151.0,10175.0,10188.9,10331.58,102186,105574285650000.0,,,
2000-03-30,INFOSYSTCH,EQ,10188.9,9900.0,9900.0,9380.0,9725.0,9745.7,9640.54,119682,115379922090000.02,,,
2000-03-31,INFOSYSTCH,EQ,9745.7,9600.0,9600.0,8966.05,8979.0,8970.15,9047.51,126260,114233921200000.0,,,
2000-04-03,INFOSYSTCH,EQ,8970.15,8501.0,9000.0,8252.55,8252.55,8252.55,8363.56,58493,48920983305000.0,,,
2000-04-04,INFOSYSTCH,EQ,8252.55,7592.35,7592.35,7592.35,7592.35,7592.35,7592.35,6253,4747496455000.0,,,
2000-04-05,INFOSYSTCH,EQ,7592.35,7051.0,8199.0,7051.0,7830.0,7797.65,7667.31,442955,339627130360000.0,,,
2000-04-06,INFOSYSTCH,EQ,7797.65,7852.0,8421.5,7301.0,8421.5,8415.3,8026.76,469687,377006431285000.0,,,
