Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-03-23,JSWSTL,EQ,10.0,455.0,458.5,383.6,386.9,390.15,419.86,2087710,87653754275000.0,,382057,0.18300000000000002
2005-03-24,JSWSTL,EQ,390.15,392.85,398.5,357.5,371.8,369.2,372.01,1226479,45626375060000.0,,232172,0.1893
2005-03-28,JSWSTL,EQ,369.2,376.7,394.05,375.0,380.0,378.85,383.64,1235794,47410479745000.0,,263415,0.2132
2005-03-29,JSWSTL,EQ,378.85,382.9,383.8,363.25,369.1,368.05,375.26,624072,23419148680000.0,,198916,0.31870000000000004
2005-03-30,JSWSTL,EQ,368.05,367.0,371.9,360.05,362.7,362.15,365.13,466349,17027753015000.0,,159641,0.3423
2005-03-31,JSWSTL,EQ,362.15,366.0,375.0,356.65,362.9,362.5,364.46,1203015,43844869335000.0,,249796,0.2076
2005-04-01,JSWSTL,EQ,362.5,366.0,396.5,361.4,391.0,391.55,384.84,1056290,40650273520000.0,,189696,0.1796
2005-04-04,JSWSTL,EQ,391.55,393.0,394.0,372.1,372.7,373.65,382.22,359643,13746288944999.998,,127320,0.354
2005-04-05,JSWSTL,EQ,373.65,375.9,377.9,364.0,367.0,365.75,370.04,279815,10354360305000.0,,79782,0.2851
2005-04-06,JSWSTL,EQ,365.75,367.0,375.9,367.0,372.2,371.9,372.6,292625,10903062830000.0,,91277,0.3119
2005-04-07,JSWSTL,EQ,371.9,377.4,379.0,366.2,367.7,367.8,371.88,189476,7046312775000.0,,71582,0.3778
2005-04-08,JSWSTL,EQ,367.8,372.5,372.5,360.25,361.05,362.1,364.65,176133,6422723160000.0,,81805,0.4645
2005-04-11,JSWSTL,EQ,362.1,361.5,365.0,357.0,362.8,361.7,361.02,243663,8796686230000.0,,74555,0.306
2005-04-12,JSWSTL,EQ,361.7,361.7,370.0,360.15,369.75,368.9,365.07,198808,7257968945000.0,,86260,0.4339
2005-04-13,JSWSTL,EQ,368.9,373.0,374.5,362.1,368.1,366.35,367.88,230785,8490109084999.999,,107692,0.46659999999999996
2005-04-15,JSWSTL,EQ,366.35,363.05,365.0,351.0,351.5,354.2,358.09,166222,5952194215000.0,,73198,0.4404
2005-04-18,JSWSTL,EQ,354.2,345.0,361.7,345.0,356.5,358.35,355.89,729193,25951438720000.0,,195699,0.2684
2005-04-19,JSWSTL,EQ,358.35,361.0,368.5,342.0,343.0,346.75,359.85,389801,14027082394999.998,,115771,0.297
2005-04-20,JSWSTL,EQ,346.75,350.0,356.8,346.0,356.5,355.7,352.7,315994,11144960100000.0,,100580,0.31829999999999997
2005-04-21,JSWSTL,EQ,355.7,356.9,363.75,351.0,363.0,361.1,356.93,254042,9067612415000.0,,87563,0.3447
2005-04-22,JSWSTL,EQ,361.1,365.0,366.0,355.5,357.5,358.2,358.8,144685,5191240735000.0,,41548,0.2872
