Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,KOTAKMAH,EQ,212.35,220.0,229.35,220.0,229.35,229.35,229.13,7086,162364030000.0,,,
2000-01-04,KOTAKMAH,EQ,229.35,247.7,247.7,225.25,247.7,246.95,244.12,73681,1798729060000.0002,,,
2000-01-05,KOTAKMAH,EQ,246.95,229.0,240.0,227.2,228.0,228.4,233.75,105799,2473093055000.0,,,
2000-01-06,KOTAKMAH,EQ,228.4,235.1,239.0,217.0,224.95,225.9,226.84,40202,911954590000.0,,,
2000-01-07,KOTAKMAH,EQ,225.9,213.0,219.0,207.85,207.85,208.85,209.94,24463,513574715000.00006,,,
2000-01-10,KOTAKMAH,EQ,208.85,215.0,219.0,192.15,192.15,192.15,196.47,12408,243780379999.99997,,,
2000-01-11,KOTAKMAH,EQ,192.15,180.2,180.2,176.8,176.8,176.8,176.98,15253,269947240000.0,,,
2000-01-12,KOTAKMAH,EQ,176.8,165.0,169.45,162.7,162.7,162.7,163.34,20558,335791970000.0,,,
2000-01-13,KOTAKMAH,EQ,162.7,149.7,175.7,149.7,163.35,167.35,163.83,103323,1692772575000.0,,,
2000-01-14,KOTAKMAH,EQ,167.35,169.0,177.0,156.15,160.5,159.85,161.69,31522,509687795000.0,,,
2000-01-17,KOTAKMAH,EQ,159.85,169.0,170.0,150.15,151.5,153.5,157.22,27217,427903845000.0,,,
2000-01-18,KOTAKMAH,EQ,153.5,148.25,158.9,147.3,149.25,149.5,151.56,40099,607731920000.0,,,
2000-01-19,KOTAKMAH,EQ,149.5,154.5,161.5,154.0,161.5,161.5,158.69,12701,201551245000.0,,,
2000-01-20,KOTAKMAH,EQ,161.5,174.45,174.45,174.45,174.45,174.45,174.45,4180,72920100000.0,,,
2000-01-21,KOTAKMAH,EQ,174.45,188.4,188.45,182.1,188.45,188.45,187.89,39486,741885455000.0,,,
2000-01-24,KOTAKMAH,EQ,188.45,200.0,203.55,200.0,203.55,203.55,203.54,10214,207891270000.0,,,
2000-01-25,KOTAKMAH,EQ,203.55,214.9,218.9,189.05,199.0,200.6,202.5,106362,2153827650000.0,,,
2000-01-27,KOTAKMAH,EQ,200.6,194.95,194.95,194.95,194.95,194.95,194.95,3547,69148765000.0,,,
2000-01-28,KOTAKMAH,EQ,194.95,210.55,210.55,210.55,210.55,210.55,210.55,36765,774087075000.0,,,
2000-01-31,KOTAKMAH,EQ,210.55,227.4,227.4,219.0,227.4,227.4,226.2,55785,1261876000000.0,,,
2000-02-01,KOTAKMAH,EQ,227.4,245.45,245.6,211.1,231.75,230.6,231.09,158195,3655760090000.0,,,
2000-02-02,KOTAKMAH,EQ,230.6,245.0,245.0,220.55,222.0,222.0,227.79,75199,1712974470000.0,,,
