Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-06-23,LT,EQ,2.0,500.0,745.0,150.0,638.0,635.95,627.71,2699293,169437184605000.0,,395612,0.1466
2004-06-24,LT,EQ,635.95,630.0,630.0,608.4,612.0,616.0,618.21,913575,56478019835000.0,,305751,0.3347
2004-06-25,LT,EQ,616.0,619.0,679.0,616.1,665.0,668.3,658.45,1637383,107813620084999.98,,217950,0.1331
2004-06-28,LT,EQ,668.3,660.0,671.9,640.2,653.0,656.4,657.39,913349,60042707740000.0,,194984,0.21350000000000002
2004-06-29,LT,EQ,656.4,656.0,683.4,653.0,666.85,671.7,675.11,743063,50164878630000.0,,101786,0.13699999999999998
2004-06-30,LT,EQ,671.7,672.0,700.0,670.0,697.85,695.15,690.66,722230,49881792325000.0,,149425,0.20690000000000003
2004-07-01,LT,EQ,695.15,702.0,765.0,690.1,764.0,745.2,726.59,1582574,114988349505000.0,,185737,0.1174
2004-07-02,LT,EQ,745.2,745.0,780.0,724.65,727.0,730.5,753.03,2988945,225076076215000.0,,268657,0.08990000000000001
2004-07-05,LT,EQ,730.5,728.2,743.5,711.1,714.0,719.05,726.0,1272188,92361014640000.0,,130172,0.1023
2004-07-06,LT,EQ,719.05,721.8,738.0,715.3,727.9,729.6,726.59,1081518,78582238420000.0,,238350,0.22039999999999998
2004-07-07,LT,EQ,729.6,733.0,739.0,725.2,726.3,727.7,733.01,603840,44261787225000.0,,143884,0.23829999999999998
2004-07-08,LT,EQ,727.7,730.0,742.0,695.7,710.0,711.95,728.55,582272,42421530605000.0,,127203,0.21850000000000003
2004-07-09,LT,EQ,711.95,695.0,748.0,625.0,744.0,744.75,730.56,564885,41268024340000.0,,121476,0.215
2004-07-12,LT,EQ,744.75,744.0,752.0,717.5,720.0,724.25,732.69,344052,25208428120000.0,,97407,0.2831
2004-07-13,LT,EQ,724.25,727.7,739.9,720.0,737.9,731.15,728.34,236313,17211603015000.0,,56616,0.2396
2004-07-14,LT,EQ,731.15,738.0,740.0,712.15,716.75,716.8,725.46,268530,19480664900000.0,,127144,0.47350000000000003
2004-07-15,LT,EQ,716.8,725.0,732.0,715.0,726.0,724.4,724.59,203453,14741934575000.0,,35748,0.1757
2004-07-16,LT,EQ,724.4,727.8,763.9,727.0,754.9,755.95,752.54,820709,61761638625000.0,,220221,0.2683
2004-07-19,LT,EQ,755.95,758.8,777.0,748.0,764.0,765.15,765.87,776088,59438595635000.0,,202984,0.2615
2004-07-20,LT,EQ,765.15,762.0,799.0,756.0,791.15,792.8,783.49,1624418,127271627820000.0,,239247,0.14730000000000001
2004-07-21,LT,EQ,792.8,795.0,806.2,776.15,785.0,796.3,798.03,1116756,89120508205000.0,,227763,0.204
2004-07-22,LT,EQ,796.3,794.8,806.7,775.25,781.0,784.2,795.51,674330,53643787135000.0,,195573,0.29
2004-07-23,LT,EQ,784.2,784.0,789.0,765.2,778.0,775.65,773.5,566045,43783348195000.0,,234804,0.4148
2004-07-26,LT,EQ,775.65,760.0,783.7,755.0,776.3,774.9,772.17,678799,52414694670000.0,,198611,0.2926
2004-07-27,LT,EQ,774.9,779.95,797.0,755.2,791.3,790.45,787.18,402026,31646716439999.996,,106191,0.2641
2004-07-28,LT,EQ,790.45,805.0,835.0,770.0,771.0,771.7,780.84,341758,26685870025000.0,,146120,0.4276
2004-07-29,LT,EQ,771.7,775.0,783.1,772.2,777.5,776.75,777.19,289202,22476404595000.0,,174501,0.6034
2004-07-30,LT,EQ,776.75,783.0,789.7,768.85,775.0,774.7,780.97,348355,27205513614999.996,,191902,0.5509000000000001
2004-08-02,LT,EQ,774.7,781.5,784.9,750.5,760.1,760.05,765.67,433862,33219603230000.0,,136258,0.3141
2004-08-03,LT,EQ,760.05,764.0,776.0,762.5,772.25,768.6,769.84,342187,26342774495000.0,,108880,0.3182
2004-08-04,LT,EQ,768.6,768.0,804.0,766.0,800.1,798.1,789.66,704854,55659567304999.99,,169241,0.2401
2004-08-05,LT,EQ,798.1,783.0,814.5,783.0,808.0,810.65,803.07,629650,50565092610000.0,,172366,0.2737
2004-08-06,LT,EQ,810.65,822.4,822.4,797.25,804.0,808.2,806.94,609738,49202211565000.0,,136044,0.2231
2004-08-09,LT,EQ,808.2,800.0,822.0,800.0,807.0,811.0,813.9,446352,36328679100000.0,,103559,0.23199999999999998
2004-08-10,LT,EQ,811.0,812.0,816.9,801.2,802.0,805.6,810.41,195698,15859637275000.0,,50741,0.2593
2004-08-11,LT,EQ,805.6,805.95,812.0,765.0,775.0,774.35,790.56,280902,22206936865000.0,,80698,0.2873
2004-08-12,LT,EQ,774.35,780.0,795.0,768.05,774.55,773.15,782.82,392416,30719096075000.0,,79476,0.2025
2004-08-13,LT,EQ,773.15,782.0,782.9,761.65,765.0,766.35,772.64,318820,24633407390000.0,,59506,0.18660000000000002
2004-08-16,LT,EQ,766.35,772.5,782.05,760.1,781.8,779.7,773.11,366137,28306301785000.004,,82677,0.2258
2004-08-17,LT,EQ,779.7,777.0,792.4,777.0,788.05,786.55,786.45,188220,14802554550000.0,,39502,0.20989999999999998
2004-08-18,LT,EQ,786.55,787.0,787.0,770.0,772.0,772.45,777.25,83479,6488430955000.0,,16227,0.19440000000000002
2004-08-19,LT,EQ,772.45,774.9,811.0,774.9,810.1,809.4,801.84,650739,52179085175000.0,,178199,0.2738
2004-08-20,LT,EQ,809.4,815.0,815.0,792.3,796.8,797.9,800.92,292966,23464328325000.0,,21054,0.0719
2004-08-23,LT,EQ,797.9,804.9,809.9,787.0,802.5,801.0,798.57,418188,33395338250000.0,,103927,0.24850000000000003
2004-08-24,LT,EQ,801.0,804.7,828.9,802.0,825.2,825.05,821.06,774656,63603583985000.0,,180013,0.2324
2004-08-25,LT,EQ,825.05,829.0,839.7,820.0,831.7,834.6,829.58,404841,33584873750000.0,,69903,0.1727
2004-08-26,LT,EQ,834.6,845.0,845.0,807.25,812.0,812.95,819.75,379057,31073364870000.0,,163715,0.4319
2004-08-27,LT,EQ,812.95,816.0,824.85,812.0,818.8,817.15,819.1,204800,16775141165000.0,,35304,0.1724
2004-08-30,LT,EQ,817.15,830.0,830.0,815.1,820.15,820.55,822.01,151567,12458987405000.0,,30091,0.1985
2004-08-31,LT,EQ,820.55,824.4,835.0,817.0,834.1,833.15,826.94,222351,18387038965000.0,,59014,0.26539999999999997
2004-09-01,LT,EQ,833.15,821.05,879.5,800.0,876.0,874.0,861.94,1104602,95209597860000.0,,228570,0.20690000000000003
2004-09-02,LT,EQ,874.0,865.0,898.3,855.1,856.5,860.15,878.38,1182700,103885842305000.0,,261786,0.2213
2004-09-03,LT,EQ,860.15,858.0,875.85,850.0,860.0,860.6,863.12,802113,69232333329999.99,,154593,0.1927
