Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,SHREECEM,EQ,63.5,68.0,68.0,63.05,63.6,64.75,65.13,30530,198842050000.0,,,
2000-01-04,SHREECEM,EQ,64.75,65.6,66.0,59.6,59.6,59.85,60.7,23525,142791950000.0,,,
2000-01-05,SHREECEM,EQ,59.85,59.1,61.0,59.0,60.0,60.0,60.03,23535,141292250000.0,,,
2000-01-06,SHREECEM,EQ,60.0,58.1,62.0,58.1,60.65,60.6,60.52,8931,54049825000.0,,,
2000-01-07,SHREECEM,EQ,60.6,60.0,61.95,57.05,60.6,60.45,60.21,5115,30795800000.0,,,
2000-01-10,SHREECEM,EQ,60.45,57.1,60.0,57.0,57.35,57.35,57.5,7001,40258465000.0,,,
2000-01-11,SHREECEM,EQ,57.35,58.0,58.0,53.0,53.35,54.1,54.66,8923,48770045000.0,,,
2000-01-12,SHREECEM,EQ,54.1,53.4,54.8,53.0,54.4,54.75,54.49,2050,11170290000.0,,,
2000-01-13,SHREECEM,EQ,54.75,53.75,53.95,52.7,53.0,52.95,53.55,4250,22759250000.0,,,
2000-01-14,SHREECEM,EQ,52.95,55.0,55.0,52.0,54.0,54.0,52.89,1480,7828000000.0,,,
2000-01-17,SHREECEM,EQ,54.0,56.0,56.0,54.0,55.5,55.5,55.13,7210,39750000000.0,,,
2000-01-18,SHREECEM,EQ,55.5,53.5,55.0,53.0,53.1,53.7,53.9,10663,57472000000.0,,,
2000-01-19,SHREECEM,EQ,53.7,54.0,56.4,53.3,55.3,55.4,55.12,8050,44371500000.0,,,
2000-01-20,SHREECEM,EQ,55.4,55.0,59.75,55.0,59.75,59.2,58.69,39121,229587804999.99997,,,
2000-01-21,SHREECEM,EQ,59.2,59.0,59.4,56.95,57.7,57.45,58.35,11050,64477000000.0,,,
2000-01-24,SHREECEM,EQ,57.45,55.6,57.0,53.55,54.0,53.95,55.0,9355,51456500000.0,,,
2000-01-25,SHREECEM,EQ,53.95,52.05,53.0,50.05,51.1,51.1,51.31,17233,88419630000.0,,,
2000-01-27,SHREECEM,EQ,51.1,51.5,55.0,50.0,50.0,50.45,51.05,18850,96232000000.0,,,
2000-01-28,SHREECEM,EQ,50.45,54.0,54.0,47.55,48.0,48.0,48.48,11060,53623250000.0,,,
2000-01-31,SHREECEM,EQ,48.0,45.0,45.8,44.2,45.0,45.3,44.78,7390,33093000000.0,,,
2000-02-01,SHREECEM,EQ,45.3,44.0,48.75,44.0,46.25,47.1,47.78,8600,41094460000.0,,,
2000-02-02,SHREECEM,EQ,47.1,50.0,50.9,48.3,50.9,50.9,50.36,23950,120611750000.0,,,
2000-02-03,SHREECEM,EQ,50.9,52.5,53.0,49.25,53.0,51.9,51.61,18800,97017750000.0,,,
2000-02-04,SHREECEM,EQ,51.9,53.0,55.0,52.0,54.0,54.6,53.76,11400,61289750000.0,,,
2000-02-07,SHREECEM,EQ,54.6,53.0,59.0,53.0,58.0,58.0,58.01,43775,253919875000.0,,,
2000-02-08,SHREECEM,EQ,58.0,60.4,62.0,58.0,60.0,60.45,59.92,36006,215762685000.0,,,
2000-02-09,SHREECEM,EQ,60.45,65.0,65.0,58.1,60.5,60.1,60.68,26081,158264900000.0,,,
2000-02-10,SHREECEM,EQ,60.1,59.0,59.0,55.35,56.75,56.2,56.57,9655,54622150000.0,,,
2000-02-11,SHREECEM,EQ,56.2,56.0,56.0,53.0,56.0,55.7,55.23,9398,51905900000.0,,,
2000-02-14,SHREECEM,EQ,55.7,55.0,55.0,51.25,51.25,51.25,51.84,3100,16071250000.0,,,
2000-02-15,SHREECEM,EQ,51.25,48.0,50.0,47.15,47.95,47.45,47.73,11275,53812650000.0,,,
2000-02-16,SHREECEM,EQ,47.45,49.6,49.6,46.8,47.0,47.0,48.24,16530,79746750000.0,,,
2000-02-17,SHREECEM,EQ,47.0,46.0,48.5,46.0,48.0,48.05,48.35,11700,56566940000.0,,,
2000-02-18,SHREECEM,EQ,48.05,46.55,48.0,44.75,46.5,45.7,46.39,19710,91437410000.0,,,
2000-02-21,SHREECEM,EQ,45.7,47.0,47.0,42.25,42.6,42.9,43.42,8219,35690925000.0,,,
2000-02-22,SHREECEM,EQ,42.9,44.0,44.0,39.5,40.0,39.8,40.58,20029,81275375000.0,,,
2000-02-23,SHREECEM,EQ,39.8,40.5,41.95,38.1,41.25,41.25,40.09,5900,23651250000.0,,,
2000-02-24,SHREECEM,EQ,41.25,42.75,44.0,40.0,42.0,41.75,41.34,11800,48785250000.0,,,
2000-02-25,SHREECEM,EQ,41.75,43.0,45.1,42.5,45.1,44.8,43.66,13103,57211210000.0,,,
2000-02-28,SHREECEM,EQ,44.8,44.8,47.8,42.0,47.0,46.25,46.47,47652,221422790000.0,,,
2000-02-29,SHREECEM,EQ,46.25,47.5,49.95,45.1,45.5,45.55,48.88,34645,169361105000.0,,,
2000-03-01,SHREECEM,EQ,45.55,45.5,46.0,42.0,46.0,45.2,43.32,18500,80135250000.0,,,
2000-03-02,SHREECEM,EQ,45.2,45.0,47.45,42.0,42.0,42.5,44.81,52300,234369300000.0,,,
2000-03-03,SHREECEM,EQ,42.5,40.2,40.45,39.1,39.2,39.2,39.57,29760,117766750000.0,,,
2000-03-06,SHREECEM,EQ,39.2,39.75,42.3,39.75,42.3,42.3,39.98,61350,245251000000.0,,,
2000-03-07,SHREECEM,EQ,42.3,40.25,40.9,38.95,39.0,38.95,39.88,19525,77875225000.0,,,
2000-03-08,SHREECEM,EQ,38.95,39.0,39.0,38.0,38.15,38.15,38.26,2350,8991250000.0,,,
2000-03-09,SHREECEM,EQ,38.15,38.0,38.0,35.1,36.85,36.85,36.03,8350,30080930000.0,,,
2000-03-10,SHREECEM,EQ,36.85,34.0,36.65,34.0,36.65,35.05,34.64,2241,7762595000.0,,,
2000-03-13,SHREECEM,EQ,35.05,33.15,33.75,32.3,32.3,32.5,32.93,3550,11691150000.0,,,
2000-03-14,SHREECEM,EQ,32.5,30.0,33.0,30.0,32.35,32.8,31.47,32270,101548800000.0,,,
2000-03-15,SHREECEM,EQ,32.8,33.8,35.4,33.8,35.4,35.4,34.17,10500,35879750000.0,,,
2000-03-16,SHREECEM,EQ,35.4,33.1,35.75,33.1,34.55,34.5,34.68,3130,10855450000.0,,,
2000-03-21,SHREECEM,EQ,34.5,33.5,36.4,32.0,35.0,34.8,34.16,29897,102119835000.0,,,
2001-07-02,SHREECEM,EQ,30.7,29.75,32.95,29.75,32.95,32.95,32.76,27,88450000.0,,,
2001-07-03,SHREECEM,EQ,32.95,30.8,31.35,30.0,30.7,30.5,30.43,5700,17346500000.0,,,
2001-07-04,SHREECEM,EQ,30.5,30.5,31.0,30.0,31.0,30.9,30.45,4596,13994945000.000002,,,
