Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,TELCO,EQ,201.6,207.4,217.25,207.4,217.0,216.75,214.28,676126,14487752460000.0,,,
2000-01-04,TELCO,EQ,216.75,217.0,219.0,206.0,211.9,208.2,209.5,679215,14229618694999.998,,,
2000-01-05,TELCO,EQ,208.2,194.0,217.8,194.0,213.1,213.25,210.33,1120951,23576835995000.0,,,
2000-01-06,TELCO,EQ,213.25,215.0,229.9,215.0,222.0,222.1,225.29,1968998,44359324810000.0,,,
2000-01-07,TELCO,EQ,222.1,224.0,239.9,223.1,239.9,239.9,236.32,2199431,51976361765000.0,,,
2000-01-10,TELCO,EQ,239.9,259.0,259.1,248.0,259.1,258.85,257.2,1720542,44253025760000.0,,,
2000-01-11,TELCO,EQ,258.85,260.0,260.0,238.15,238.15,238.15,246.63,1207916,29790818264999.996,,,
2000-01-12,TELCO,EQ,238.15,240.0,246.0,229.0,242.45,240.25,237.13,938579,22256459195000.0,,,
2000-01-13,TELCO,EQ,240.25,243.0,245.0,231.6,233.0,235.45,237.31,565754,13426092590000.0,,,
2000-01-14,TELCO,EQ,235.45,234.95,243.0,233.0,239.8,239.05,239.04,1024725,24495040200000.0,,,
2000-01-17,TELCO,EQ,239.05,242.95,258.1,242.95,251.0,250.65,252.65,1482994,37468336605000.0,,,
2000-01-18,TELCO,EQ,250.65,251.0,252.5,245.05,250.0,248.0,248.46,792347,19686656390000.0,,,
2000-01-19,TELCO,EQ,248.0,251.0,257.9,242.6,249.5,250.5,249.51,1221042,30466078260000.004,,,
2000-01-20,TELCO,EQ,250.5,250.0,250.0,233.6,234.0,235.7,242.37,557949,13523230465000.0,,,
2000-01-21,TELCO,EQ,235.7,230.1,233.8,225.5,231.1,232.2,230.09,696339,16021982135000.0,,,
2000-01-24,TELCO,EQ,232.2,230.0,235.9,213.65,213.65,213.65,223.44,1125168,25140781385000.0,,,
2000-01-25,TELCO,EQ,213.65,200.35,204.9,196.6,196.6,196.6,198.54,706121,14019448210000.0,,,
2000-01-27,TELCO,EQ,196.6,190.0,193.0,180.9,180.9,180.9,182.54,1728526,31552431125000.0,,,
2000-01-28,TELCO,EQ,180.9,171.0,182.0,168.35,175.0,175.2,174.95,2671887,46745717610000.0,,,
2000-01-31,TELCO,EQ,175.2,171.15,188.7,170.05,178.6,179.7,181.2,2850688,51653936380000.0,,,
2000-02-01,TELCO,EQ,179.7,179.9,184.9,172.1,176.1,175.3,177.04,1206216,21354696745000.0,,,
2000-02-02,TELCO,EQ,175.3,184.0,186.9,178.35,179.95,180.1,182.72,896220,16376162315000.0,,,
2000-02-03,TELCO,EQ,180.1,180.0,181.75,176.75,177.7,177.35,179.57,390462,7011483875000.0,,,
2000-02-04,TELCO,EQ,177.35,179.0,179.95,172.8,179.5,178.95,177.42,805045,14283252615000.0,,,
2000-02-07,TELCO,EQ,178.95,178.1,182.5,175.35,178.0,177.8,179.63,472973,8495897425000.0,,,
2000-02-08,TELCO,EQ,177.8,179.0,184.9,176.5,180.25,180.6,181.0,671633,12156270340000.0,,,
2000-02-09,TELCO,EQ,180.6,186.0,192.0,182.0,183.1,183.65,187.39,851000,15946510065000.0,,,
2000-02-10,TELCO,EQ,183.65,184.9,184.9,180.0,180.5,181.1,182.19,276973,5046209495000.0,,,
2000-02-11,TELCO,EQ,181.1,183.9,184.8,167.05,167.05,169.75,174.43,787181,13730978655000.002,,,
2000-02-14,TELCO,EQ,169.75,170.0,170.0,156.2,157.3,157.8,161.94,700837,11349297665000.0,,,
2000-02-15,TELCO,EQ,157.8,158.05,169.0,156.0,166.0,165.8,162.9,984192,16032293480000.002,,,
2000-02-16,TELCO,EQ,165.8,171.8,171.8,164.15,164.35,164.85,166.66,316694,5277969970000.0,,,
2000-02-17,TELCO,EQ,164.85,165.0,172.0,163.6,167.0,166.35,167.24,352975,5903216330000.0,,,
2000-02-18,TELCO,EQ,166.35,166.0,167.0,153.05,153.05,154.2,157.29,526451,8280412095000.0,,,
2000-02-21,TELCO,EQ,154.2,150.0,166.55,150.0,166.55,166.55,161.77,672967,10886733040000.0,,,
2000-02-22,TELCO,EQ,166.55,173.9,179.9,170.3,179.9,179.9,178.55,635878,11353415300000.0,,,
2000-02-23,TELCO,EQ,179.9,189.9,194.0,166.25,167.05,168.05,180.61,1254749,22661513405000.0,,,
2000-02-24,TELCO,EQ,168.05,170.9,174.9,165.95,169.3,170.25,170.14,469287,7984683659999.999,,,
2000-02-25,TELCO,EQ,170.25,174.45,183.9,166.55,183.9,182.9,178.97,892722,15976989294999.998,,,
2000-02-28,TELCO,EQ,182.9,184.0,184.0,174.1,182.3,181.05,180.23,651357,11739464680000.0,,,
2000-02-29,TELCO,EQ,181.05,180.05,183.4,166.6,166.6,166.6,174.15,835041,14542059194999.998,,,
2000-03-01,TELCO,EQ,166.6,167.0,172.0,154.0,160.7,157.6,162.06,1464975,23740808680000.0,,,
2000-03-02,TELCO,EQ,157.6,163.0,163.75,145.75,146.5,146.8,152.27,1313217,19995818530000.0,,,
2000-03-03,TELCO,EQ,146.8,137.0,141.9,135.1,135.25,135.1,136.26,1222358,16655727265000.0,,,
2000-03-06,TELCO,EQ,135.1,139.9,145.95,136.1,139.1,138.75,142.24,1705044,24251910305000.0,,,
2000-03-07,TELCO,EQ,138.75,130.0,139.6,130.0,131.0,132.1,133.55,1087675,14525591955000.002,,,
2000-03-08,TELCO,EQ,132.1,134.0,134.1,125.0,127.9,127.5,129.28,597334,7722204120000.0,,,
2000-03-09,TELCO,EQ,127.5,128.0,137.7,126.2,137.7,137.7,130.97,658855,8629253500000.0,,,
2000-03-10,TELCO,EQ,137.7,130.0,140.0,127.25,129.3,129.4,131.05,674480,8838859560000.0,,,
2000-03-13,TELCO,EQ,129.4,131.9,133.4,119.55,120.75,120.35,125.4,673380,8444197755000.0,,,
2000-03-14,TELCO,EQ,120.35,122.8,130.0,119.8,130.0,130.0,127.25,842598,10721834070000.0,,,
2000-03-15,TELCO,EQ,130.0,135.0,139.3,130.0,133.75,135.2,135.26,773900,10467955870000.0,,,
2000-03-16,TELCO,EQ,135.2,136.0,146.05,134.0,146.0,145.4,143.49,1108152,15900394410000.0,,,
2000-03-21,TELCO,EQ,145.4,143.0,153.0,135.25,148.6,149.55,146.6,1018963,14937606280000.002,,,
2000-03-22,TELCO,EQ,149.55,153.0,153.5,142.5,145.5,146.55,148.19,735518,10899801295000.0,,,
2000-03-23,TELCO,EQ,146.55,147.0,147.5,135.5,136.4,136.2,139.89,428079,5988298305000.0,,,
2000-03-24,TELCO,EQ,136.2,131.2,136.85,131.2,135.6,135.25,134.28,310258,4166212500000.0,,,
2000-03-27,TELCO,EQ,135.25,135.0,137.8,133.15,136.0,135.35,135.7,295252,4006485260000.0,,,
2000-03-28,TELCO,EQ,135.35,134.25,137.0,130.15,133.1,133.5,132.92,567466,7542908440000.001,,,
2000-03-29,TELCO,EQ,133.5,135.25,139.9,133.0,136.0,134.9,136.34,896538,12223404705000.0,,,
2000-03-30,TELCO,EQ,134.9,133.55,133.65,124.15,126.4,126.75,126.58,894430,11321774730000.0,,,
2000-03-31,TELCO,EQ,126.75,124.3,136.9,121.5,136.0,136.3,132.25,1010408,13362734665000.0,,,
2000-04-03,TELCO,EQ,136.3,138.0,145.9,135.0,138.9,142.7,140.43,1677659,23559026535000.0,,,
2000-04-04,TELCO,EQ,142.7,141.0,141.0,131.3,131.3,131.3,133.26,641572,8549866415000.001,,,
2000-04-05,TELCO,EQ,131.3,126.5,136.0,125.25,132.0,133.55,132.33,517712,6850715090000.001,,,
2000-04-06,TELCO,EQ,133.55,133.1,136.0,122.9,128.45,128.7,127.43,610757,7782588640000.001,,,
2000-04-07,TELCO,EQ,128.7,130.8,139.0,129.0,139.0,138.8,136.18,969387,13201031070000.0,,,
2000-04-10,TELCO,EQ,138.8,139.0,144.85,135.1,139.9,139.65,141.67,1220619,17293101705000.002,,,
2000-04-11,TELCO,EQ,139.65,137.0,141.0,132.2,137.0,137.95,136.57,548760,7494359345000.0,,,
2000-04-12,TELCO,EQ,137.95,140.0,140.0,134.0,134.0,135.25,136.74,465795,6369050630000.0,,,
2000-04-13,TELCO,EQ,135.25,128.0,134.95,124.5,129.5,129.0,130.18,877606,11424429655000.0,,,
2000-04-17,TELCO,EQ,129.0,127.1,136.0,119.0,131.95,131.8,130.04,1342054,17452091494999.998,,,
2000-04-18,TELCO,EQ,131.8,134.9,137.0,121.3,122.0,121.65,124.28,1333939,16577741794999.998,,,
2000-04-19,TELCO,EQ,121.65,124.95,127.8,116.0,125.0,124.55,123.06,1121766,13804647840000.0,,,
2000-04-20,TELCO,EQ,124.55,123.05,126.0,118.0,122.45,122.7,122.19,1020669,12471575100000.0,,,
2000-04-24,TELCO,EQ,122.7,124.0,130.0,122.5,124.25,125.7,126.81,797119,10108626760000.0,,,
2000-04-25,TELCO,EQ,125.7,124.05,128.4,120.05,126.7,127.45,125.17,978110,12242567550000.0,,,
2000-04-26,TELCO,EQ,127.45,128.0,135.5,124.0,134.5,133.95,131.55,1919932,25257599745000.0,,,
2000-04-27,TELCO,EQ,133.95,134.0,135.0,127.55,128.0,129.2,131.61,677783,8920328735000.0,,,
2000-04-28,TELCO,EQ,129.2,129.65,130.55,125.75,127.15,127.7,127.63,541772,6914552330000.0,,,
2000-05-02,TELCO,EQ,127.7,127.0,128.5,121.5,126.0,126.35,125.52,729748,9160004015000.0,,,
2000-05-03,TELCO,EQ,126.35,125.0,128.5,123.0,127.75,127.35,126.08,346349,4366754279999.9995,,,
2000-05-04,TELCO,EQ,127.35,129.0,134.95,127.5,131.4,130.9,132.31,540965,7157529345000.0,,,
2000-05-05,TELCO,EQ,130.9,133.0,144.2,130.55,142.0,141.2,137.81,1247067,17185213315000.0,,,
2000-05-08,TELCO,EQ,141.2,144.7,152.5,139.25,143.05,144.5,148.12,1609904,23846605490000.0,,,
2000-05-09,TELCO,EQ,144.5,143.0,147.5,138.1,145.0,144.85,143.7,727928,10460538900000.0,,,
2000-05-10,TELCO,EQ,144.85,145.9,146.3,140.55,144.15,143.8,143.39,315753,4527456680000.0,,,
2000-05-11,TELCO,EQ,143.8,143.0,143.0,136.6,137.55,138.05,139.38,342190,4769568900000.0,,,
2000-05-12,TELCO,EQ,138.05,139.0,143.0,127.1,127.8,129.1,136.49,698609,9535295025000.0,,,
2000-05-15,TELCO,EQ,129.1,127.0,132.35,125.0,130.25,130.3,129.29,306204,3958790015000.0,,,
2000-05-16,TELCO,EQ,130.3,131.0,136.9,129.1,132.0,133.0,132.98,437273,5814954205000.0,,,
2000-05-17,TELCO,EQ,133.0,135.0,138.0,132.5,134.0,133.95,136.01,460806,6267555405000.0,,,
2000-05-18,TELCO,EQ,133.95,133.0,138.5,129.85,130.5,130.75,134.45,624712,8399535005000.0,,,
2000-05-19,TELCO,EQ,130.75,129.6,133.15,129.55,130.8,130.8,131.58,256378,3373431860000.0,,,
2000-05-22,TELCO,EQ,130.8,129.1,132.9,129.1,130.75,130.2,131.07,176179,2309196535000.0,,,
2000-05-23,TELCO,EQ,130.2,131.0,131.95,127.0,129.4,128.9,129.07,236406,3051351820000.0,,,
2000-05-24,TELCO,EQ,128.9,129.0,132.9,127.1,129.85,129.75,130.63,419382,5478213270000.0,,,
2000-05-25,TELCO,EQ,129.75,130.0,130.75,120.65,122.4,121.6,124.12,1204187,14945949360000.0,,,
2000-05-26,TELCO,EQ,121.6,122.95,123.0,115.5,119.25,118.75,118.42,1072987,12706368300000.0,,,
2000-05-29,TELCO,EQ,118.75,118.8,128.25,118.8,122.2,122.9,124.72,1474009,18383807585000.0,,,
2000-05-30,TELCO,EQ,122.9,120.1,123.85,116.55,122.5,122.8,121.37,912163,11070876515000.0,,,
2000-05-31,TELCO,EQ,122.8,128.5,129.0,123.15,123.5,124.3,126.09,1001574,12628672115000.0,,,
2000-06-01,TELCO,EQ,124.3,124.0,125.0,121.0,122.55,122.35,123.55,313592,3874445425000.0,,,
2000-06-02,TELCO,EQ,122.35,123.1,125.9,115.55,119.25,118.85,121.15,1535065,18597788000000.0,,,
2000-06-05,TELCO,EQ,118.85,121.9,123.0,118.9,119.4,119.15,120.03,1142609,13714466044999.998,,,
2000-06-06,TELCO,EQ,119.15,120.0,121.0,119.0,119.3,119.25,119.58,758714,9072853380000.0,,,
2000-06-07,TELCO,EQ,119.25,120.4,124.7,120.0,121.5,121.6,122.4,792137,9696070000000.0,,,
2000-06-08,TELCO,EQ,121.6,122.0,130.0,121.8,127.8,128.85,126.86,1907835,24203441265000.0,,,
2000-06-09,TELCO,EQ,128.85,128.0,139.2,127.6,134.7,134.5,134.61,2791317,37574395060000.0,,,
2000-06-12,TELCO,EQ,134.5,136.0,142.5,133.2,139.5,137.25,139.18,1804975,25121359775000.0,,,
2000-06-13,TELCO,EQ,137.25,136.0,139.75,134.15,138.0,138.05,136.86,1048426,14348758950000.0,,,
2000-06-14,TELCO,EQ,138.05,138.45,139.4,133.2,133.7,133.65,135.88,661456,8987945200000.0,,,
2000-06-15,TELCO,EQ,133.65,133.5,134.9,130.5,131.5,131.4,132.91,388279,5160669660000.0,,,
2000-06-16,TELCO,EQ,131.4,130.05,133.5,129.0,132.1,132.3,131.35,828622,10883608475000.0,,,
2000-06-19,TELCO,EQ,132.3,132.5,137.5,131.6,134.5,134.45,134.31,636346,8546925359999.999,,,
2000-06-20,TELCO,EQ,134.45,136.0,136.9,134.2,134.7,135.1,135.37,313175,4239492450000.0,,,
2000-06-21,TELCO,EQ,135.1,136.5,136.5,130.1,130.9,130.6,132.66,297366,3944820965000.0,,,
2000-06-22,TELCO,EQ,130.6,130.7,131.65,129.2,130.6,130.2,130.38,296481,3865628550000.0,,,
2000-06-23,TELCO,EQ,130.2,129.1,134.0,128.15,128.7,129.15,131.86,736112,9706272290000.0,,,
2000-06-26,TELCO,EQ,129.15,128.1,128.1,125.0,125.7,126.1,126.09,291304,3673180754999.9995,,,
2000-06-27,TELCO,EQ,126.1,126.0,132.7,125.5,126.3,126.7,128.77,1027891,13235831095000.0,,,
2000-06-28,TELCO,EQ,126.7,127.8,129.35,126.5,127.0,126.9,128.07,393472,5039382045000.0,,,
2000-06-29,TELCO,EQ,126.9,127.1,129.95,124.05,126.25,126.35,127.31,776143,9880827270000.0,,,
2000-06-30,TELCO,EQ,126.35,125.0,127.0,122.65,124.0,123.5,124.89,306351,3826080675000.0,,,
2000-07-03,TELCO,EQ,123.5,124.9,128.25,123.65,125.55,125.7,126.26,455836,5755191370000.0,,,
2000-07-04,TELCO,EQ,125.7,126.0,126.8,122.5,122.5,123.3,124.07,571728,7093627530000.0,,,
2000-07-05,TELCO,EQ,123.3,128.7,128.9,123.5,126.25,126.3,126.39,589214,7447035284999.999,,,
2000-07-06,TELCO,EQ,126.3,129.0,132.5,125.15,129.8,129.8,130.16,1120599,14586054419999.998,,,
2000-07-07,TELCO,EQ,129.8,130.8,131.0,128.1,129.1,129.05,129.45,486952,6303448105000.0,,,
2000-07-10,TELCO,EQ,129.05,128.05,134.85,128.05,131.15,131.15,132.04,854257,11279530845000.0,,,
2000-07-11,TELCO,EQ,131.15,131.05,136.7,129.7,132.65,132.9,132.24,845231,11177630255000.0,,,
2000-07-12,TELCO,EQ,132.9,135.9,138.7,131.65,132.0,132.4,134.51,1190291,16011088069999.998,,,
2000-07-13,TELCO,EQ,132.4,133.0,135.5,131.0,131.05,131.75,133.33,672716,8969494105000.0,,,
2000-07-14,TELCO,EQ,131.75,132.0,132.3,126.6,127.25,127.2,129.38,559638,7240546359999.999,,,
2000-07-17,TELCO,EQ,127.2,126.25,127.5,123.5,126.65,126.7,126.51,332001,4200210620000.0005,,,
2000-07-18,TELCO,EQ,126.7,126.0,127.5,124.15,124.75,124.45,125.13,594735,7441677390000.001,,,
2000-07-19,TELCO,EQ,124.45,126.0,126.65,124.1,124.65,124.45,125.38,282632,3543521345000.0005,,,
2000-07-20,TELCO,EQ,124.45,125.95,125.95,120.9,122.15,121.8,122.84,296792,3645748675000.0,,,
2000-07-21,TELCO,EQ,121.8,123.1,123.75,116.7,117.45,117.2,119.06,662475,7887368230000.0,,,
2000-07-24,TELCO,EQ,117.2,115.3,116.0,105.0,105.0,106.3,109.3,791259,8648829990000.001,,,
2000-07-25,TELCO,EQ,106.3,104.95,110.6,101.0,107.4,108.0,106.68,835404,8912435180000.0,,,
2000-07-26,TELCO,EQ,108.0,100.0,105.95,99.4,103.5,103.65,102.34,1372618,14047100230000.002,,,
2000-07-27,TELCO,EQ,103.65,103.0,107.0,102.1,106.0,106.2,104.48,415469,4340747650000.0,,,
2000-07-28,TELCO,EQ,106.2,105.25,106.95,103.2,104.65,104.05,104.77,540623,5664050810000.0,,,
2000-07-31,TELCO,EQ,104.05,102.6,104.3,91.55,92.45,92.55,96.17,1750824,16836915205000.002,,,
2000-08-01,TELCO,EQ,92.55,93.65,96.8,92.55,94.65,94.85,94.86,1089540,10335091980000.0,,,
2000-08-02,TELCO,EQ,94.85,95.1,100.0,94.75,99.0,98.35,97.12,926340,8996623605000.0,,,
2000-08-03,TELCO,EQ,98.35,99.0,101.0,93.55,95.15,95.1,97.02,1417870,13756759844999.998,,,
2000-08-04,TELCO,EQ,95.1,94.65,96.0,93.0,93.15,93.45,94.38,622685,5876989145000.0,,,
2000-08-07,TELCO,EQ,93.45,93.5,94.35,90.6,92.1,91.65,92.3,585012,5399836485000.0,,,
2000-08-08,TELCO,EQ,91.65,92.0,93.5,91.55,92.55,92.25,92.55,821817,7605912540000.001,,,
2000-08-09,TELCO,EQ,92.25,92.9,95.1,92.9,94.25,93.95,93.96,513867,4828153495000.0,,,
2000-08-10,TELCO,EQ,93.95,93.8,94.95,92.5,92.55,92.65,93.75,248107,2326115975000.0,,,
2000-08-11,TELCO,EQ,92.65,92.25,93.35,90.5,90.85,90.85,91.58,321760,2946543535000.0,,,
2000-08-14,TELCO,EQ,90.85,91.2,91.2,85.8,87.15,87.1,87.6,831777,7286120809999.999,,,
2000-08-16,TELCO,EQ,87.1,88.8,90.9,88.1,89.75,89.55,89.51,543565,4865359125000.0,,,
2000-08-17,TELCO,EQ,89.55,89.95,93.4,88.5,90.35,90.45,91.22,839259,7656099459999.999,,,
2000-08-18,TELCO,EQ,90.45,88.95,91.45,88.5,89.5,89.6,90.2,515161,4646953405000.0,,,
2000-08-21,TELCO,EQ,89.6,90.4,92.3,89.25,90.5,90.95,90.94,482794,4390394440000.0,,,
2000-08-22,TELCO,EQ,90.95,91.2,93.0,90.25,92.25,92.35,91.65,588193,5390668825000.0,,,
2000-08-23,TELCO,EQ,92.35,95.0,99.0,93.0,96.0,95.8,96.49,1408869,13594705760000.0,,,
2000-08-24,TELCO,EQ,95.8,95.15,96.75,93.0,94.3,94.2,94.94,392910,3730262610000.0,,,
2000-08-25,TELCO,EQ,94.2,94.5,97.85,93.25,95.05,95.6,95.85,709187,6797812205000.0,,,
2000-08-28,TELCO,EQ,95.6,95.9,106.4,95.75,103.6,104.75,101.37,3042314,30841359355000.0,,,
2000-08-29,TELCO,EQ,104.75,105.0,106.0,98.0,101.9,102.1,102.31,1327972,13586852810000.0,,,
2000-08-30,TELCO,EQ,102.1,101.0,102.35,98.75,99.2,99.5,100.49,530951,5335508840000.0,,,
2000-08-31,TELCO,EQ,99.5,98.5,102.25,97.5,99.7,100.1,100.42,880479,8842057775000.0,,,
2000-09-04,TELCO,EQ,100.1,101.2,102.5,97.05,97.9,98.0,100.02,513329,5134154280000.0,,,
2000-09-05,TELCO,EQ,98.0,99.0,102.1,97.5,100.3,101.05,100.43,914261,9181733880000.0,,,
2000-09-06,TELCO,EQ,101.05,100.5,104.45,100.35,102.35,102.0,102.51,905695,9283843750000.0,,,
2000-09-07,TELCO,EQ,102.0,102.0,105.45,101.5,101.9,102.3,103.87,821108,8529210670000.0,,,
2000-09-08,TELCO,EQ,102.3,103.0,103.5,99.1,100.3,99.9,101.02,468999,4737968895000.0,,,
2000-09-11,TELCO,EQ,99.9,101.0,101.5,95.4,97.25,96.85,98.18,622124,6108302735000.0,,,
2000-09-12,TELCO,EQ,96.85,96.0,98.0,95.0,95.75,95.5,95.87,866596,8308337284999.999,,,
2000-09-13,TELCO,EQ,95.5,96.25,97.0,95.2,95.7,95.45,96.03,258381,2481173420000.0,,,
2000-09-14,TELCO,EQ,95.45,96.0,96.7,93.5,94.5,94.35,94.31,214476,2022644945000.0,,,
2000-09-15,TELCO,EQ,94.35,94.4,94.4,91.0,91.4,91.35,92.45,394418,3646312250000.0,,,
2000-09-18,TELCO,EQ,91.35,90.55,94.15,90.25,91.3,92.05,92.6,412697,3821723460000.0,,,
2000-09-19,TELCO,EQ,92.05,90.6,92.25,88.4,90.05,89.55,90.29,545842,4928385245000.0,,,
2000-09-20,TELCO,EQ,89.55,92.95,92.95,90.05,91.4,91.3,91.28,181420,1656072720000.0,,,
2000-09-21,TELCO,EQ,91.3,91.15,92.05,88.0,88.9,89.25,90.38,219510,1984034335000.0002,,,
2000-09-22,TELCO,EQ,89.25,88.7,89.0,85.15,85.75,85.95,86.84,376569,3270004060000.0,,,
2000-09-25,TELCO,EQ,85.95,87.0,88.5,86.0,86.0,86.5,87.17,194715,1697373460000.0002,,,
2000-09-26,TELCO,EQ,86.5,86.4,87.0,82.0,82.5,82.5,83.31,572745,4771569885000.0,,,
2000-09-27,TELCO,EQ,82.5,83.45,85.0,81.9,84.15,83.85,84.0,258039,2167499745000.0,,,
2000-09-28,TELCO,EQ,83.85,86.0,86.0,81.0,81.75,81.35,82.63,269608,2227754880000.0,,,
2000-09-29,TELCO,EQ,81.35,82.45,82.85,81.0,81.1,81.5,81.6,342958,2798455600000.0,,,
2000-10-03,TELCO,EQ,81.5,81.05,83.0,79.15,82.2,81.75,82.02,518054,4248829625000.0,,,
2000-10-04,TELCO,EQ,81.75,83.0,85.95,82.2,84.15,84.3,84.3,378506,3190695365000.0,,,
2000-10-05,TELCO,EQ,84.3,85.6,86.75,82.2,82.45,82.5,84.27,264010,2224727130000.0,,,
2000-10-06,TELCO,EQ,82.5,82.9,82.9,79.75,81.0,80.75,80.87,322792,2610531955000.0,,,
2000-10-09,TELCO,EQ,80.75,81.2,81.4,79.75,79.95,79.95,80.4,162028,1302726065000.0,,,
2000-10-10,TELCO,EQ,79.95,79.55,81.3,78.05,78.25,79.15,79.75,382765,3052379700000.0,,,
2000-10-11,TELCO,EQ,79.15,79.0,79.95,77.1,77.65,77.85,78.82,237013,1868174335000.0002,,,
2000-10-12,TELCO,EQ,77.85,77.25,79.5,77.05,78.05,77.9,78.11,178572,1394780025000.0,,,
2000-10-13,TELCO,EQ,77.9,77.05,80.5,75.25,78.05,77.5,77.82,457614,3561199560000.0,,,
2000-10-16,TELCO,EQ,77.5,77.45,79.9,76.0,76.35,76.6,77.91,227007,1768660550000.0,,,
2000-10-17,TELCO,EQ,76.6,75.6,76.75,74.3,74.8,74.85,75.52,327826,2475885225000.0,,,
