Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-08-28,TECHM,EQ,365.0,521.0,569.0,502.0,553.0,554.25,552.0,15166163,837176013020000.0,,3777529,0.24910000000000002
2006-08-29,TECHM,EQ,554.25,555.0,563.9,535.55,536.1,539.3,547.59,3929113,215153038915000.0,,727534,0.1852
2006-08-30,TECHM,EQ,539.3,537.0,542.9,521.5,529.0,528.1,529.55,2034983,107762957620000.0,,345064,0.1696
2006-08-31,TECHM,EQ,528.1,525.0,544.0,515.0,539.35,538.45,532.89,1670990,89044643830000.0,,286440,0.1714
2006-09-01,TECHM,EQ,538.45,539.0,549.0,535.1,541.35,541.85,542.46,1176195,63803856150000.0,,213842,0.1818
2006-09-04,TECHM,EQ,541.85,542.0,549.0,452.8,542.0,543.95,543.8,749788,40773713470000.0,,213912,0.2853
2006-09-05,TECHM,EQ,543.95,544.0,556.0,538.5,551.5,552.7,548.92,956133,52483829145000.0,,258744,0.2706
2006-09-06,TECHM,EQ,552.7,554.7,562.5,538.0,540.0,541.25,551.38,957611,52801098525000.0,,202832,0.2118
2006-09-07,TECHM,EQ,541.25,545.0,545.0,530.0,536.25,537.3,536.79,351161,18849974530000.0,,140830,0.401
2006-09-08,TECHM,EQ,537.3,538.8,544.9,531.55,531.6,534.8,538.89,269659,14531639525000.0,,59668,0.2213
2006-09-11,TECHM,EQ,534.8,539.95,545.0,532.25,533.1,535.95,538.13,420466,22626504155000.0,,182316,0.4336
2006-09-12,TECHM,EQ,535.95,535.95,546.85,534.0,537.85,537.85,539.51,514196,27741546120000.0,,289134,0.5623
2006-09-13,TECHM,EQ,537.85,541.0,549.0,541.0,545.1,544.7,546.14,401947,21952067310000.0,,247945,0.6169
2006-09-14,TECHM,EQ,544.7,545.2,557.5,545.1,549.0,549.85,553.26,534610,29577801135000.004,,303082,0.5669
2006-09-15,TECHM,EQ,549.85,550.15,554.0,539.0,541.0,540.2,544.58,209783,11424434435000.0,,97462,0.4646
2006-09-18,TECHM,EQ,540.2,544.0,562.0,544.0,545.25,546.5,550.53,224376,12352655115000.0,,96526,0.4302
2006-09-19,TECHM,EQ,546.5,548.05,623.85,546.5,581.0,584.25,594.73,4793064,285058454745000.0,,583289,0.1217
2006-09-20,TECHM,EQ,584.25,579.8,613.9,573.25,605.95,605.05,601.29,2264328,136150926865000.02,,202726,0.0895
2006-09-21,TECHM,EQ,605.05,577.0,627.0,577.0,609.9,608.95,616.48,1776100,109492234670000.0,,233080,0.13119999999999998
2006-09-22,TECHM,EQ,608.95,625.0,625.0,593.25,604.45,601.15,603.12,726501,43816599415000.0,,129352,0.17800000000000002
2006-09-25,TECHM,EQ,601.15,595.25,611.7,590.05,594.5,593.55,602.69,635537,38303393485000.0,,119407,0.18789999999999998
2006-09-26,TECHM,EQ,593.55,599.8,626.0,594.0,614.55,617.6,616.59,1735875,107032799685000.0,,244564,0.1409
2006-09-27,TECHM,EQ,617.6,619.5,631.8,616.3,619.9,619.45,624.48,1015312,63404640860000.0,,182281,0.1795
2006-09-28,TECHM,EQ,619.45,624.7,624.7,608.15,614.25,613.0,614.19,302605,18585586590000.0,,101194,0.3344
2006-09-29,TECHM,EQ,613.0,615.0,630.0,610.0,619.0,618.4,622.2,595376,37044412620000.0,,106764,0.1793
2006-10-03,TECHM,EQ,618.4,619.0,635.85,615.0,616.1,619.4,625.94,800656,50116541495000.0,,197144,0.2462
2006-10-04,TECHM,EQ,619.4,621.6,624.0,610.0,613.3,613.7,617.28,300674,18560024000000.0,,69571,0.23140000000000002
