Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2004-01-23,UNIPHOS,EQ,10.0,100.0,560.0,100.0,555.1,553.8,483.69,73629,3561361450000.0,,52799.0,0.7171
2004-01-27,UNIPHOS,EQ,553.8,570.0,570.0,525.0,530.1,540.35,540.77,26737,1445850850000.0,,17314.0,0.6476000000000001
2004-01-28,UNIPHOS,EQ,540.35,530.0,565.0,511.0,542.0,538.85,542.24,32155,1743569020000.0,,23285.0,0.7241
2004-01-29,UNIPHOS,EQ,538.85,530.0,543.5,504.0,517.0,515.1,529.23,19074,1009447219999.9999,,12935.0,0.6781
2004-01-30,UNIPHOS,EQ,515.1,519.0,519.0,471.4,485.0,482.95,485.85,23807,1156659385000.0,,12750.0,0.5356000000000001
2004-02-03,UNIPHOS,EQ,482.95,472.0,475.0,450.0,465.0,461.45,466.1,25068,1168431745000.0,,17793.0,0.7098000000000001
2004-02-04,UNIPHOS,EQ,461.45,442.0,479.0,442.0,475.0,475.15,470.81,21392,1007167444999.9999,,18545.0,0.8669
2004-02-05,UNIPHOS,EQ,475.15,475.0,489.0,470.5,475.05,480.15,477.59,19618,936930590000.0,,16395.0,0.8357
2004-02-06,UNIPHOS,EQ,480.15,461.1,486.0,461.0,485.9,480.75,477.32,11997,572643405000.0,,10892.0,0.9079
2004-02-09,UNIPHOS,EQ,480.75,475.0,483.0,462.05,474.8,471.95,471.87,19547,922368255000.0001,,14957.0,0.7652
2004-02-10,UNIPHOS,EQ,471.95,480.0,480.0,459.0,475.15,477.8,473.86,20031,949198119999.9999,,16818.0,0.8395999999999999
2004-02-11,UNIPHOS,EQ,477.8,479.0,483.95,475.8,481.5,479.75,479.86,8149,391037335000.0,,6622.0,0.8126000000000001
2004-02-12,UNIPHOS,EQ,479.75,480.0,489.0,475.55,489.0,486.35,482.42,10600,511370200000.0,,10078.0,0.9508
2004-02-13,UNIPHOS,EQ,486.35,493.0,495.95,480.0,495.0,492.8,490.14,14134,692757575000.0,,13028.0,0.9217000000000001
2004-02-16,UNIPHOS,EQ,492.8,465.0,498.0,465.0,495.0,494.35,491.4,9670,475185065000.00006,,8443.0,0.8731
2004-02-17,UNIPHOS,EQ,494.35,491.0,500.0,490.0,495.3,497.65,495.64,38983,1932144314999.9998,,37568.0,0.9637000000000001
2004-02-18,UNIPHOS,EQ,497.65,495.0,504.0,492.0,501.5,501.75,499.92,8918,445832845000.0,,7457.0,0.8362
2004-02-19,UNIPHOS,EQ,501.75,500.0,500.0,475.0,486.0,481.55,486.65,24195,1177461005000.0,,20914.0,0.8644
2004-02-20,UNIPHOS,EQ,481.55,484.9,484.9,471.65,475.0,475.0,475.15,44404,2109843305000.0,,41888.0,0.9433
2004-02-23,UNIPHOS,EQ,475.0,505.0,505.0,465.0,472.0,469.2,470.74,13769,648165555000.0,,12937.0,0.9396
2004-02-24,UNIPHOS,EQ,469.2,469.55,485.1,469.5,482.0,482.6,478.72,11944,571787895000.0,,10832.0,0.9069
2004-02-25,UNIPHOS,EQ,482.6,484.0,484.0,469.5,477.9,470.85,470.59,8565,403058640000.0,,7549.0,0.8814000000000001
2004-02-26,UNIPHOS,EQ,470.85,476.0,485.0,460.0,470.0,470.65,476.5,6316,300957650000.0,,5153.0,0.8159000000000001
2004-02-27,UNIPHOS,EQ,470.65,466.1,481.0,466.1,478.0,477.7,473.09,80565,3811446440000.0,,79047.0,0.9812000000000001
2004-03-01,UNIPHOS,EQ,477.7,475.6,482.0,471.5,478.0,479.65,477.5,8563,408881415000.0,,7033.0,0.8212999999999999
2004-03-03,UNIPHOS,EQ,479.65,490.0,531.7,490.0,518.95,516.6,509.97,46849,2389158205000.0,,31587.0,0.6742
2004-03-04,UNIPHOS,EQ,516.6,529.5,529.5,493.3,500.7,498.95,508.34,13976,710451480000.0,,7389.0,0.5287
2004-03-05,UNIPHOS,EQ,498.95,508.0,509.9,496.25,500.0,499.5,500.27,13147,657707120000.0,,9622.0,0.7319
2004-03-08,UNIPHOS,EQ,499.5,500.0,514.0,500.0,513.0,513.2,509.88,18863,961782819999.9999,,14232.0,0.7545000000000001
2004-03-09,UNIPHOS,EQ,513.2,514.0,518.9,501.15,511.95,512.3,509.65,13688,697615210000.0,,10029.0,0.7327
2004-03-10,UNIPHOS,EQ,512.3,505.0,512.0,505.0,510.0,509.9,510.64,13606,694776585000.0,,12634.0,0.9286
2004-03-11,UNIPHOS,EQ,509.9,505.0,518.0,505.0,515.0,515.2,514.6,14098,725479080000.0,,11514.0,0.8167
2004-03-12,UNIPHOS,EQ,515.2,515.0,515.0,487.05,496.25,497.3,495.7,4523,224205754999.99997,,3542.0,0.7831
2004-03-15,UNIPHOS,EQ,497.3,485.25,508.0,450.0,485.05,498.4,495.31,15463,765896845000.0,,10323.0,0.6676000000000001
2004-03-16,UNIPHOS,EQ,498.4,481.3,493.0,477.0,479.0,481.4,482.39,2871,138494865000.0,,2304.0,0.8025
2004-03-17,UNIPHOS,EQ,481.4,485.0,485.0,476.0,476.05,477.15,479.72,2033,97527580000.0,,993.0,0.48840000000000006
2004-03-18,UNIPHOS,EQ,477.15,483.1,488.9,475.0,475.0,481.6,481.54,5990,288445310000.0,,4686.0,0.7823000000000001
2004-03-19,UNIPHOS,EQ,481.6,482.05,488.9,480.0,483.65,484.4,481.93,4890,235662920000.00003,,4321.0,0.8836
2004-03-22,UNIPHOS,EQ,484.4,475.2,475.2,460.0,460.0,461.4,463.44,13607,630599965000.0,,12812.0,0.9416
2004-03-23,UNIPHOS,EQ,461.4,455.25,457.0,428.0,445.0,444.4,443.51,11645,516469730000.0,,9231.0,0.7927
2004-03-24,UNIPHOS,EQ,444.4,436.1,443.0,430.0,430.0,432.25,438.35,1065,46684675000.0,,921.0,0.8648
2004-03-25,UNIPHOS,EQ,432.25,431.0,449.95,430.0,437.0,436.25,440.24,6362,280083825000.0,,5574.0,0.8761
2004-03-26,UNIPHOS,EQ,436.25,441.0,463.8,441.0,455.0,455.65,454.84,4840,220141979999.99997,,4049.0,0.8366
2004-03-29,UNIPHOS,EQ,455.65,464.75,464.75,450.0,451.0,451.75,455.82,5322,242587954999.99997,,4270.0,0.8023
2004-03-30,UNIPHOS,EQ,451.75,460.0,462.0,457.0,457.0,457.65,459.95,1641,75477270000.0,,891.0,0.543
2004-03-31,UNIPHOS,EQ,457.65,460.0,462.9,451.55,458.0,459.4,459.9,7332,337201925000.0,,6754.0,0.9212
2004-04-01,UNIPHOS,EQ,459.4,460.0,500.0,460.0,475.0,484.25,486.92,8363,407208565000.0,,6590.0,0.788
2004-04-02,UNIPHOS,EQ,484.25,490.0,490.0,475.0,475.15,480.65,480.06,1694,81321700000.0,,1339.0,0.7904000000000001
2004-04-05,UNIPHOS,EQ,480.65,480.1,494.9,475.0,485.75,486.75,487.14,3413,166260685000.0,,3067.0,0.8986000000000001
2004-04-06,UNIPHOS,EQ,486.75,482.25,485.0,476.25,485.0,481.15,481.41,24012,1155952805000.0,,23420.0,0.9753000000000001
2004-04-07,UNIPHOS,EQ,481.15,473.9,490.0,473.9,482.0,482.05,481.02,3904,187791755000.0,,3440.0,0.8811
2004-04-08,UNIPHOS,EQ,482.05,482.0,486.9,480.0,482.0,481.55,480.25,17549,842799135000.0,,17028.0,0.9703
2004-04-12,UNIPHOS,EQ,481.55,475.1,482.4,475.0,478.0,478.55,479.32,5356,256723985000.0,,5066.0,0.9459000000000001
2004-04-13,UNIPHOS,EQ,478.55,470.5,482.05,470.5,476.0,476.0,476.09,12953,616674590000.0,,12743.0,0.9838
2004-04-15,UNIPHOS,EQ,476.0,476.0,488.0,476.0,487.0,485.5,484.05,3720,180068020000.0,,3414.0,0.9177
2004-04-16,UNIPHOS,EQ,485.5,488.0,492.25,486.0,490.0,490.0,489.61,8824,432029120000.0,,8638.0,0.9789
2004-04-17,UNIPHOS,EQ,490.0,490.0,490.0,480.3,488.0,483.95,483.79,250,12094810000.0,,174.0,0.696
2004-04-19,UNIPHOS,EQ,483.95,480.1,490.5,480.0,482.0,483.0,488.05,41468,2023855000000.0,,39700.0,0.9573999999999999
2004-04-20,UNIPHOS,EQ,483.0,475.0,480.0,465.0,475.0,474.6,474.89,1372,65155250000.0,,944.0,0.688
2004-04-21,UNIPHOS,EQ,474.6,475.0,485.0,472.0,483.7,480.15,478.26,2531,121048180000.0,,2249.0,0.8886000000000001
2004-04-22,UNIPHOS,EQ,480.15,478.0,483.0,468.0,468.0,471.15,477.77,14326,684453215000.0,,12438.0,0.8682
2004-04-23,UNIPHOS,EQ,471.15,470.0,490.0,462.0,465.0,465.75,473.72,6704,317584485000.0,,4981.0,0.743
