Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,WIPRO,EQ,2522.4,2724.0,2724.2,2724.0,2724.2,2724.2,2724.17,1599,435594205000.0,,,
2000-01-04,WIPRO,EQ,2724.2,2942.15,2942.15,2942.15,2942.15,2942.15,2942.15,4392,1292192280000.0,,,
2000-01-05,WIPRO,EQ,2942.15,2942.15,3177.55,2715.0,3000.0,2990.1,3063.86,132297,40533895620000.0,,,
2000-01-06,WIPRO,EQ,2990.1,3144.7,3183.0,2790.0,2915.0,2932.25,2962.41,72840,21578221245000.0,,,
2000-01-07,WIPRO,EQ,2932.25,2751.0,2751.0,2697.7,2697.7,2697.7,2697.95,10110,2727630390000.0,,,
2000-01-10,WIPRO,EQ,2697.7,2697.7,2913.5,2612.0,2665.0,2701.35,2740.88,40382,11068241285000.0,,,
2000-01-11,WIPRO,EQ,2701.35,2734.0,2789.0,2485.25,2485.25,2485.45,2543.38,46178,11744835900000.0,,,
2000-01-12,WIPRO,EQ,2485.45,2590.0,2608.0,2485.0,2570.0,2562.9,2543.75,20037,5096904595000.0,,,
2000-01-13,WIPRO,EQ,2562.9,2574.0,2620.0,2460.0,2484.9,2480.25,2539.63,19080,4845620595000.0,,,
2000-01-14,WIPRO,EQ,2480.25,2590.0,2590.0,2405.0,2475.15,2497.85,2470.43,20412,5042646415000.0,,,
2000-01-17,WIPRO,EQ,2497.85,2580.0,2697.7,2550.0,2697.7,2697.7,2671.72,27984,7476548175000.0,,,
2000-01-18,WIPRO,EQ,2697.7,2740.0,2850.0,2600.0,2690.0,2677.15,2688.05,32443,8720828000000.0,,,
2000-01-19,WIPRO,EQ,2677.15,2725.0,2848.0,2725.0,2780.0,2784.5,2801.9,33586,9410450690000.0,,,
2000-01-20,WIPRO,EQ,2784.5,2808.0,2834.95,2775.0,2785.0,2796.4,2801.6,21511,6026513375000.0,,,
2000-01-21,WIPRO,EQ,2796.4,2825.0,3020.15,2750.0,3020.15,2989.7,2931.46,145195,42563347655000.0,,,
2000-01-24,WIPRO,EQ,2989.7,3151.0,3228.9,3151.0,3228.9,3228.9,3228.71,20562,6638874680000.0,,,
2000-01-25,WIPRO,EQ,3228.9,3487.25,3487.25,3487.2,3487.25,3487.25,3487.24,34893,12168038585000.0,,,
2000-01-27,WIPRO,EQ,3487.25,3766.25,3766.25,3766.25,3766.25,3766.25,3766.25,1618,609379250000.0,,,
2000-01-28,WIPRO,EQ,3766.25,4067.55,4067.55,4067.55,4067.55,4067.55,4067.55,3007,1223112285000.0,,,
2000-01-31,WIPRO,EQ,4067.55,4067.55,4240.0,3742.15,3900.0,3805.0,3884.97,73387,28510645780000.0,,,
2000-02-01,WIPRO,EQ,3805.0,3995.0,4109.4,3960.0,4109.4,4109.4,4095.33,49750,20374282560000.0,,,
2000-02-02,WIPRO,EQ,4109.4,4438.15,4438.15,4438.15,4438.15,4438.15,4438.15,2235,991926525000.0,,,
2000-02-03,WIPRO,EQ,4438.15,4793.2,4793.2,4750.0,4793.2,4793.2,4792.18,8597,4119838235000.0,,,
2000-02-04,WIPRO,EQ,4793.2,5169.0,5176.7,5005.0,5176.7,5176.7,5124.37,57609,29520984039999.996,,,
2000-02-07,WIPRO,EQ,5176.7,5339.0,5494.0,5074.0,5150.0,5259.15,5317.52,42768,22741965395000.0,,,
2000-02-08,WIPRO,EQ,5259.15,5289.0,5400.0,4839.0,4850.0,4868.05,4950.21,37484,18555356655000.0,,,
2000-02-09,WIPRO,EQ,4868.05,5099.0,5257.5,5050.0,5200.0,5209.5,5185.1,38282,19849592355000.0,,,
2000-02-10,WIPRO,EQ,5209.5,5200.0,5626.3,5105.0,5626.3,5626.3,5440.17,76550,41644534330000.0,,,
2000-02-11,WIPRO,EQ,5626.3,6067.0,6076.4,5700.0,6076.4,6076.4,6019.01,62249,37467759700000.0,,,
2000-02-14,WIPRO,EQ,6076.4,6250.0,6562.55,6000.0,6562.55,6562.55,6476.74,67076,43443372310000.0,,,
2000-02-15,WIPRO,EQ,6562.55,6899.0,7087.55,6100.0,7087.55,7087.55,6978.68,56752,39605394120000.0,,,
2000-02-16,WIPRO,EQ,7087.55,7269.0,7654.55,7260.0,7654.55,7654.55,7634.56,24633,18806215865000.0,,,
2000-02-17,WIPRO,EQ,7654.55,8262.85,8266.95,8262.85,8266.95,8266.95,8266.95,14273,11799415685000.0,,,
2000-02-18,WIPRO,EQ,8266.95,8928.35,8928.35,8928.35,8928.35,8928.35,8928.35,9348,8346221580000.0,,,
